stationid,COMID,q50,q50_weighted,slope
Brazil_20050000,62139303,106.50453,77.95289216218171,0.000845870972
Brazil_20090000,62139298,132.83736,80.33660099424165,0.000566038558
Brazil_20250000,62142622,154.5894,114.65768146514893,0.000980691881
Brazil_20489100,62139229,250.83386,181.92216079299516,0.000995939994
Brazil_20490000,62139225,268.36438,192.08195784285263,0.000691667134
Brazil_20500000,62135202,432.45102,258.1877283556708,0.00050833319143
Brazil_21050000,62130936,739.9701,450.0420956081814,0.000430072587
Brazil_21080000,62126764,818.4594,542.6266449784811,0.000657591372
Brazil_21500000,62131258,178.07693,132.61893655528192,0.000114020923
Brazil_21600000,62131033,238.96613,159.2313556890378,0.000507305178
Brazil_21650000,62122327,338.2368,209.92852130268895,0.000556655851
Brazil_21850000,62122635,158.44156,105.83652898427603,0.000453136365
Brazil_21890000,62122589,190.0814,124.92585595198504,0.000237936908
Brazil_21900000,62122324,535.05756,334.3851583181334,0.000572901798
Brazil_22250000,62113626,118.49815,92.99788890976504,0.000117058848
Brazil_22500000,62098864,2022.8696,1282.1477327166863,0.00015330488
Brazil_22900000,62098917,433.1651,288.77062380591104,0.007247740149154
Brazil_23100000,62089107,2774.7246,1857.2585002200703,0.000583265686313
Brazil_24700000,62144999,591.6518,450.4374465942383,0.000516749363
Brazil_24750000,62147124,90.89379,126.99542899753736,0.002078229174
Brazil_24800000,62145120,159.6647,127.61621691385905,0.000264698358
Brazil_24850000,62142290,767.7276,600.5422780591388,0.000181741114
Brazil_25140000,62142296,22.460499,27.098976771036785,0.000509167597502
Brazil_25200000,62139262,1048.7386,785.6832885742188,0.000234035971
Brazil_25700000,62130980,1202.2102,873.778527792398,2.3399551e-05
Brazil_25800000,62131175,172.70534,97.7918394702976,0.000480750956
Brazil_25950000,62126801,1458.1729,1022.8540524569424,3.5371028e-05
Brazil_26030000,62117862,1571.2915,1028.7013295491536,1.6947065e-05
Brazil_26050000,62142403,311.66675,206.0081463858444,6.7224483e-05
Brazil_26100000,62139322,438.78308,312.9388239542643,0.002024104923631
Brazil_26150000,62139520,82.17392,62.558161706039584,0.000174694342
Brazil_26200000,62135276,583.29205,413.862424524819,0.001148907344817
Brazil_26300000,62122310,745.89856,454.81954822540285,4.5794372e-05
Brazil_26350000,62117856,2329.432,1515.9609246504933,0.0
Brazil_26800000,62103866,325.3542,186.61751507698222,6.1361281e-05
Brazil_27110000,62099342,124.29089,85.98601667086284,1.2546434e-05
Brazil_29100000,62063532,487.4236,348.975213792589,7.6093626331e-05
Brazil_30050000,61036133,685.2276,403.20770263671875,0.001582123072
Brazil_30055000,61040745,131.85756,57.919001371964164,2.3809771e-05
Brazil_30075000,61046098,47.379253,22.718939781188965,0.00071724289
Brazil_30080000,61046359,367.3353,250.99927775065103,0.000406368134
Brazil_30300000,61046557,382.3272,213.81850051879883,0.000354666996
Brazil_30400000,61046686,1132.1888,792.4611206054688,0.002708776040612
Brazil_31490000,62033260,46.680847,29.97411584854126,0.001752189097957
Brazil_31520000,62028015,73.20546,63.395042419433594,0.000205099333
Brazil_31680000,62043092,338.50888,260.8189469260731,0.002363542171751
Brazil_31700000,62037945,415.7961,291.56221103668213,9.663503e-06
Brazil_32620000,63000434,286.87674,178.49955368041992,0.000131898463
Brazil_33680000,63002488,209.89072,109.76880296979631,3.0762375e-05
Brazil_33780000,63002553,71.18989,57.420314442027696,0.000351666406887
Brazil_34060000,63014836,190.85309,57.77241007486979,0.000294576546
Brazil_34070000,63013534,206.02141,67.49292110472686,0.000211707873
Brazil_34311000,63012207,615.12744,234.2387659956769,0.000334774462
Brazil_34660000,63008277,815.78644,307.20248265420236,0.000340965379
Brazil_34690000,63006918,826.4006,299.965952192034,0.000262407276
Brazil_34770000,63008316,65.39021,23.02495974692229,0.001168924391321
Brazil_34790000,63006948,94.64038,45.63560568568218,8.0690918e-05
Brazil_34820000,63004626,951.33514,319.22729402429917,0.000868652824699
Brazil_34940000,63003660,32.901146,16.93441276748975,0.001492491261141
Brazil_34980000,63002548,63.605324,181.323115234375,0.000973658012
Brazil_35170000,63001737,7.2550244,7.86547623981129,0.00116510858
Brazil_36070000,63010992,4.0834303,39.939170837402344,0.000497226475
Brazil_36320000,63009733,32.066177,73.12979799158433,0.000278693573
Brazil_36390000,63006931,36.735924,45.96023464202881,0.000180945624
Brazil_37410000,63012248,14.664446,46.230979919433594,0.001060661586
Brazil_37470000,63010940,17.02363,40.93295516967773,0.00083651869
Brazil_37710150,63008295,20.208288,15.807087678175707,0.000300437885948
Brazil_37730000,63006939,20.44241,15.449333218967213,0.000196377417
Brazil_37761000,63006933,20.607738,14.677020132541656,0.000836128886574
Brazil_38880000,63013613,6.827121,12.31209389368693,0.00065477915
Brazil_40150000,63042659,31.236212,43.5430155481611,0.002168888108
Brazil_40850000,63041260,96.68379,76.58626474917514,0.00040649841
Brazil_41818000,63039017,152.89041,105.56947962443034,0.000137523833
Brazil_42210000,63035480,818.5271,571.8417823605421,0.00094948358441
Brazil_42690001,63036395,207.01219,155.88589477539062,5.0884377e-05
Brazil_42930000,63036375,269.22992,196.04682480661492,0.000150478827
Brazil_42980000,63036373,270.18854,196.92070369231396,0.000848958612777
Brazil_43200000,63035472,1122.2046,803.0095409715032,0.000191640667
Brazil_43670000,63034583,124.23078,92.29658075968425,9.8800832e-05
Brazil_43880000,63035538,152.45316,110.8623046875,0.00089875614203
Brazil_43980002,63034573,155.08475,114.69831977171056,7.1040862e-05
Brazil_44200000,63034501,1315.4927,884.2437405056423,6.1304541e-05
Brazil_45298000,63031293,1576.1266,1075.01843469498,8.5143449e-05
Brazil_45480000,63028966,1599.8809,1036.810039292034,3.2332824e-05
Brazil_46035000,63028167,1817.7227,1209.051162781503,0.000127232365
Brazil_46998000,63024532,532.42206,291.74685557295635,0.000302357454866
Brazil_48020000,63019919,2521.9536,1492.6913452148438,0.000155801856
Brazil_48290000,63018615,2529.2698,1762.0243326822917,0.000245838883
Brazil_48590000,63017295,2544.1887,1115.2397142493207,0.000235445495
Brazil_49330000,63021220,2582.2192,1298.4925537109375,0.000121515433
Brazil_49370000,63021209,2592.0115,2072.2412353515624,0.004126458670725
Brazil_49705000,63022388,2632.5327,3612.8846028645835,0.000290925037649
Brazil_51240000,63028989,16.175482,14.003374099731445,0.000621671405
Brazil_51280000,63028201,18.82905,12.241161073957171,0.000304275811
Brazil_51330000,63028187,21.732538,11.294803619384766,0.00035951621
Brazil_51350000,63028182,22.899319,17.369988123575848,0.000783905233
Brazil_51460000,63027380,3.2776296,5.870457172393799,0.001141567455
Brazil_52404000,63030537,26.345661,43.44829559326172,0.000833251397
Brazil_52405000,63030529,28.12416,27.475167083740235,0.00093896963
Brazil_52570000,63030508,33.536217,28.978111267089844,0.000408599291
Brazil_52680000,63031319,52.108723,42.686235427856445,0.000562229958
Brazil_52695000,63031316,56.89915,70.1835355758667,0.000906565598
Brazil_53170000,63032100,14.608142,14.270378029864768,0.001547146332
Brazil_53180000,63032095,15.3151455,15.995198991563585,0.001583841191
Brazil_54002990,63039115,15.179927,18.909414291381836,0.001057674193
Brazil_54010005,63037238,50.151535,25.833748069969385,0.000257185542
Brazil_54150000,63036391,81.45352,43.575287675857545,0.001050860724
Brazil_54195000,63035534,101.30685,69.66919871738979,0.000940323651
Brazil_54530000,63036382,172.52364,91.29554176330566,0.000191081106
Brazil_54580000,63035511,187.84818,152.36113815307618,0.000102503805
Brazil_54710000,63035494,202.17819,171.1278111384465,0.000597022569
Brazil_54780000,63034543,232.03827,169.7510926781631,0.00139921046
Brazil_54950000,63034522,243.17368,245.0434647993608,0.000214633066
Brazil_55560000,63038158,24.392534,21.492815017700195,0.000870486677
Brazil_55630000,63038147,41.26708,39.351237322833086,0.000293197021
Brazil_55699998,63038137,53.34375,45.543183967248716,0.000423731691
Brazil_56425000,63041936,103.262314,78.66995038484272,0.000470874591
Brazil_56539000,63041923,147.52287,105.40543216612281,0.001359860926672
Brazil_56719998,63041301,221.8631,168.66887537638345,0.000604642031
Brazil_56820080,63040558,125.380035,71.2699704851423,0.002394246614
Brazil_56825000,63041272,131.65457,68.25410288030452,0.00089237856
Brazil_56846080,63040539,393.1682,228.22689881195893,0.002679016194
Brazil_56850000,63040533,406.39236,276.9215947931463,0.000451855174
Brazil_56891900,63039783,68.01311,39.42125429425921,0.000861725039
Brazil_56920000,63040526,492.6856,274.69666202732776,0.000841578093
Brazil_56948005,63041262,529.7594,313.7292698451451,0.000960014722
Brazil_56990000,63041290,66.321655,45.916225710782136,0.001866249725
Brazil_56992400,63041245,622.1367,439.5181862967355,0.001457911692
Brazil_57450000,63043291,28.976349,33.87993602752685,0.000582646601
Brazil_57460000,63043287,32.934822,30.973459243774414,0.001263787498
Brazil_57555000,63043283,51.035164,48.10357996133658,0.001788174782
Brazil_57580000,63043771,53.298805,51.74228266123179,0.000207554008
Brazil_58096000,63045485,79.676636,72.93370537285332,0.001720527611
Brazil_58128100,63045305,16.11833,14.801835589938694,0.006524173214
Brazil_58152010,63045289,120.32944,115.0569239419604,0.000439666697
Brazil_58158100,63045281,125.989716,118.22697900842738,6.2801765e-05
Brazil_58204000,63044918,150.60782,144.0924326578776,7.6632786e-05
Brazil_58235000,63044904,181.56805,172.87186768997546,0.00129610553
Brazil_58240080,63044645,195.95271,189.6719545404962,0.004022370659
Brazil_58300001,63044897,226.80919,219.3628861276727,0.000419172745
Brazil_58305001,63044635,229.57724,225.9118950646203,0.000399923571
Brazil_58318002,63044630,236.38136,232.8598875388121,0.000641046645
Brazil_58620000,63044646,113.10281,98.86494245529175,0.002626173803
Brazil_58630002,63044332,445.67236,444.8661251068115,0.001391288001
Brazil_58636000,63044330,448.11206,719.2247802734375,0.004043314384
Brazil_58651980,63044323,467.9229,424.8857834130003,0.004180374765
Brazil_58795000,63044047,577.80505,572.5614624023438,0.000604605199
Brazil_58880001,63044041,624.56757,612.4953112479968,0.000610745539
Brazil_58940000,63043741,58.240314,57.86235931941441,0.00094658813
Brazil_58960000,63044054,64.663956,65.03398309751998,0.000552404116
Brazil_58974000,63044310,700.84985,680.3516949909489,0.000415417751
Brazil_60020000,64004331,33.249878,30.56141546037462,0.000420513527
Brazil_60030000,64005735,68.21577,48.85607613824231,0.00018334942
Brazil_60040000,64007316,93.4904,66.23910140991211,0.000664880183
Brazil_60110000,64007510,19.031534,20.560158469460227,0.002634833679
Brazil_60235005,64011028,66.487076,52.633188247680664,0.002858582098938
Brazil_60320000,64010823,108.221375,81.58154807330894,0.000210248380057
Brazil_60340000,64010805,241.82509,182.6023382349399,1.5258464e-05
Brazil_60510010,64004273,176.98611,187.51651111547497,0.001672032096
Brazil_60544990,64004264,235.49493,168.72843801374916,0.000572263352
Brazil_60798000,64007353,165.61691,144.79878506130643,0.000675571117
Brazil_60805000,64007253,359.41443,290.06200203062997,0.000849972784
Brazil_60905000,64008952,211.07951,184.53489196476679,0.000663271155
Brazil_60907000,64010781,220.69196,197.46998683384487,0.00148519837
Brazil_60920000,64008901,168.15173,138.32939771195532,0.000983418406
Brazil_60950000,64010728,94.66408,88.85307312011719,0.000845310073
Brazil_60968000,64010956,60.98166,52.660492256039475,0.003312428461
Brazil_60970000,64010946,67.787,52.47121047973633,0.002409183947263
Brazil_61061080,64020386,101.03718,80.73247660761294,0.004236000839
Brazil_61135000,64020573,81.28762,67.90834045410156,0.001776544777
Brazil_61202000,64018401,25.10974,20.90656852722168,0.000863281282
Brazil_61305000,64025957,60.893875,114.03166961669922,0.000150002998
Brazil_61410000,64023327,136.36551,121.99945407443576,0.000173938659
Brazil_61425000,64023296,160.40326,144.80460611979166,0.000414940186
Brazil_61510000,64023612,74.14148,75.50089772542317,0.000186686954
Brazil_61537000,64020661,100.617355,86.4467544555664,0.00060435328
Brazil_61661000,64017595,750.5204,602.6301418397485,0.013968210172
Brazil_61740080,64012979,905.47754,758.9982772827149,0.001336206466
Brazil_61787000,64015500,66.74625,62.462333646313894,0.001163035891
Brazil_61788000,64015496,69.93637,67.02960205078125,0.000277649277
Brazil_61796080,64015278,1060.7788,895.0697126116071,0.001977802095
Brazil_61811080,64023590,47.22322,35.389044443766274,0.015418516569
Brazil_61818080,64023412,73.65154,67.36607869466145,0.006875665683
Brazil_61819080,64023402,74.39185,68.3123374881601,0.004181802301
Brazil_61830000,64020602,121.1897,114.87154915021813,0.000293388046
Brazil_61834000,64020569,144.14252,132.58899688720703,0.000315657628
Brazil_61855000,64017772,163.10577,151.2900967103317,0.000416926055
Brazil_61884002,64025925,52.712563,68.49871317545573,0.000670029
Brazil_61902000,64023273,110.85279,103.89557295579176,0.000138030063
Brazil_61910000,64023261,132.70764,123.98833962373955,0.000194446466
Brazil_61912000,64020503,145.08025,137.249794051492,0.000236979429
Brazil_61915005,64017711,172.1326,163.18979775316362,5.4629774e-05
Brazil_61925000,64015429,372.8175,332.24796443515356,0.000512738408
Brazil_63001500,64013193,97.12476,93.56498670578003,0.001575344273
Brazil_63002000,64013148,210.7798,197.07665365993387,0.000832852166
Brazil_63003100,64015457,221.3416,201.4285006205241,0.001026304665
Brazil_63280000,64015566,102.38774,106.88358306884766,0.001904310118
Brazil_63350100,64015542,135.04965,139.83868517194475,0.000269038165
Brazil_63390000,64017815,170.79607,161.97181525597205,0.000375928041
Brazil_63900001,64015591,83.55145,82.53256370907738,0.001123905414
Brazil_63979000,64023214,295.295,284.83745193481445,0.000519450542
Brazil_64391000,64031435,68.1715,67.40229385375977,0.000331978439
Brazil_64447000,64038317,81.14337,82.09242075139827,0.000467318151029
Brazil_64465000,64038300,123.256294,123.63197673450817,0.001447757555
Brazil_64482000,64036018,195.39987,194.0909009335646,0.001209219566
Brazil_64491000,64036010,216.50568,216.5672110331427,0.002942389634
Brazil_64501000,64033524,244.08087,241.39397561961206,0.000615366551
Brazil_64504700,64030991,272.57523,267.9797655741374,0.002048633747
Brazil_64506000,64030989,273.28888,268.99974568684894,0.001047412848
Brazil_64507000,64030987,274.0638,269.9088559034394,0.000441048131
Brazil_64517000,64028396,741.48627,728.5741691589355,0.0
Brazil_64617000,64025845,290.1853,284.2847235894972,0.000196471487
Brazil_64625000,64038406,52.049885,51.8166904043644,0.001206454211741
Brazil_64645000,64036076,118.86587,117.51801065298227,0.00118785568
Brazil_64655000,64036068,164.79298,165.13995850975834,0.001267268693
Brazil_64660500,64033569,228.69958,225.8455395418055,0.00124432610795
Brazil_64675002,64033559,263.77188,261.9587635713465,0.001030447149
Brazil_64685000,64031073,303.6495,297.1598843661222,1.159245e-05
Brazil_64689000,64031059,328.8975,322.1187952435206,0.000253764139
Brazil_64689005,64031057,331.92,327.26280879974365,0.00012186549
Brazil_64693000,64031050,347.797,337.3462209286897,5.6762989e-05
Brazil_64767000,64038262,45.691994,44.30360196285321,0.000220543109
Brazil_64771500,64038256,54.183678,51.819157155354816,0.000763071645
Brazil_64776100,64038254,93.355705,91.02452247087345,6.7774879e-05
Brazil_64795000,64038246,143.0339,137.82540717491736,0.000814742728
Brazil_64799500,64035927,165.14088,160.4640150803786,0.005312979757448
Brazil_65220001,64044755,243.52002,252.98158046177454,8.267262e-06
Brazil_65310001,64044733,349.58215,359.8126509817023,0.000136924667
Brazil_65775901,64045285,34.855988,37.87585322062174,0.003381882457
Brazil_65815050,64042764,40.929382,42.11691541257112,0.005101668511
Brazil_65825000,64042752,74.315636,74.93740844726562,0.00226576848
Brazil_65855000,64043090,21.372068,21.746439640338604,0.003919189694
Brazil_65895002,64042556,762.38806,759.6897849288641,0.006751536617
Brazil_65925000,64044951,38.718475,40.24982032775879,0.002775668892
Brazil_65927000,64044924,78.06692,78.03643411225444,0.000638916253
Brazil_65955000,64042802,32.23283,31.736074876785278,0.001514855503
Brazil_65960000,64042678,140.185,138.90768830672553,0.001051850128
Brazil_65985000,64042540,1086.7666,1073.9849578857422,0.000693647207
Brazil_65986000,64042538,1095.978,1078.1406292582667,0.000357845388281
Brazil_65992500,64042521,1149.7148,1161.8208571213943,0.007562133312
Brazil_66050000,64000168,121.9652,80.56185771217031,0.000552586538
Brazil_66055000,64000674,175.4213,130.45468521118164,0.000324523438
Brazil_66070004,64001834,465.2229,352.7561505126953,0.00011681132
Brazil_66090000,64002929,598.229,441.6276009299538,7.1988615e-05
Brazil_66120000,64004220,655.9071,473.5463161468506,2.2577396e-05
Brazil_66162000,64000214,32.334496,55.64675188064575,0.000772484469
Brazil_66231000,64000200,110.710144,69.5967912345097,0.000673289331
Brazil_66250001,64000189,183.27118,115.22751944405692,0.000177953167
Brazil_66255000,64000685,207.37927,133.26927358096407,0.000793475404
Brazil_66260001,64001158,227.37921,164.03259411980125,4.7237247e-05
Brazil_66260002,64001159,223.81543,149.1329288482666,0.000341060807
Brazil_66280000,64001851,264.0901,182.3113345521869,0.000206284402423
Brazil_66360000,64002958,314.0166,235.92992289616512,0.000128487988
Brazil_66370000,64004255,315.45786,243.0521421432495,0.000208507702
Brazil_66430000,64001983,51.98771,36.61203374828489,0.000424416432
Brazil_66450001,64001836,171.33203,134.14657592773438,0.000294008677
Brazil_66600000,64004284,219.91705,189.37466221639554,0.000757165620738
Brazil_66650000,64004278,233.37273,203.6136131286621,0.000328863876
Brazil_66710000,64004198,892.5681,704.7238415804776,0.000149588183
Brazil_66800000,64007219,1943.0675,1545.2773868336396,0.000273574417459
Brazil_66810000,64007194,1984.9645,1399.4849243164062,3.973781e-05
Brazil_66845000,64007227,135.21086,123.39698274867742,0.000501941226
Brazil_66870000,64007217,333.2946,311.5134764171782,0.000401253061
Brazil_66885000,64007208,344.76727,318.3923568725586,0.00024481311
Brazil_66895000,64010703,2460.6384,2111.389108276367,0.000167201072461
Brazil_67100000,64023084,3375.1165,3254.965099925726,0.000272027858751
Brazil_70700000,64053912,164.35104,167.397829691569,0.000444252275
Brazil_72300000,64051441,538.4855,546.75498046875,0.000493369019
Brazil_72430000,64051709,27.310411,29.63676374098834,0.000166908126
Brazil_72715000,64047505,16.154089,17.055836995442707,0.00407633217
Brazil_72810000,64049307,35.102383,35.54434675328872,0.002535310605
Brazil_72849000,64049258,59.645267,59.548700286120905,0.001272423708
Brazil_72980000,64049241,81.52737,80.61453580856323,0.001129272128
Brazil_73010000,64049082,740.7963,729.9298289309265,0.001450037144
Brazil_73550000,64049056,987.29974,978.8798724515939,0.000301922461112
Brazil_73600000,64047464,44.235916,45.49679266237745,0.008675665329
Brazil_73600600,64047249,65.147766,68.15967508951823,0.005084900299
Brazil_73770000,64047187,138.54567,135.34140244969782,0.001009342634
Brazil_73850000,64047034,172.88225,168.72231026155404,0.000628699321
Brazil_73960000,64049326,187.07666,181.96658096313476,0.000637801081
Brazil_74040080,64049051,1001.9396,992.0148681640625,0.000552522432
Brazil_74100000,64049046,1219.0884,1195.3674798780871,0.000331042844
Brazil_74210000,64051602,44.891613,47.15208278558193,0.000685825558
Brazil_74270000,64049176,96.00319,93.7129908543007,0.000533079449
Brazil_74500000,64049023,1585.5323,1564.1523059253961,0.002332944701669
Brazil_75320000,64053986,170.50186,168.00710064172745,0.000173545287
Brazil_75550000,64053766,2248.1345,2209.11211768617,5.9196907e-05
Brazil_75900000,64058334,2531.353,2510.1372813349185,0.00052284313036
Brazil_76310000,64062853,110.36996,105.38110422533612,0.000268167799
Brazil_76500000,64060594,395.2259,389.3155820509967,8.9642148e-05
