,COMID,slope,ID,glow_lat,glow_lon,index_righ,id_1,Width,gage_lat,gage_lon,STCD,stationid,Width_deg,geometry,q50
0,42012937,0.000721642985,R42012937XS0111499,51.66953911617321,126.61083333266544,8,1587.0,273.9594031,51.666056,126.616417,10400070,humaqiao,0.002465437392909,POINT (126.6108333326654 51.66953911617321),73.72254
2,42037498,5.1162061e-05,R42037498XS0194266,46.83250000082434,130.3380113355351,18,2512.0,1163.564179,46.828028,130.333417,11121820,jiamusi,0.010471239911807,POINT (130.3380113355351 46.83250000082434),844.3086
3,42043227,0.000331642404,R42043227XS0214067,45.99047938969314,129.58868728001764,12,1805.0,311.9274899,45.99,129.590944,11100120,changjiangtun,0.002807122839273,POINT (129.5886872800176 45.99047938969314),77.66107
7,42045560,0.000226372394555,R42045560XS0223098,45.96801041926237,128.7513437475538,19,2536.0,1110.379044,45.970083,128.7515,11022450,tonghe,0.009992611987041,POINT (128.7513437475538 45.96801041926237),622.0312
10,42047856,3.8452614e-05,R42047856XS0237394,45.54150259762402,124.35433073768527,20,2595.0,483.7561514,45.5467,124.2647,11420330,dalai,0.004353457086033,POINT (124.3543307376853 45.54150259762402),198.96176
12,42047860,7.8805377e-05,R42047860XS0237620,45.19294231462545,124.75539102177318,16,2146.0,555.0520999,45.16694,124.811639,10959200,fuyu,0.004995069293557,POINT (124.7553910217732 45.19294231462545),181.97258
15,42060702,0.001154452985,R42060702XS0287916,41.74166666732523,125.95228269576891,3,989.0,404.4539165,41.74118,125.956192,11605400,tonghua,0.003639794064975,POINT (125.9522826957689 41.74166666732523),15.403708
19,43044183,4.0425896e-05,R43044183XS0477981,32.43460501348202,115.416271676693,7,1527.0,246.1995238,32.4347,115.4159,50100700,huaibin,0.002215618464723,POINT (115.416271676693 32.43460501348202),67.85171
21,42020496,0.000406657892,R42020496XS1751182,50.04776838282015,125.3194350446659,9,1615.0,100.0,50.048333,125.322777,11200020,shihuiyao,0.00089992800576,POINT (125.3194350446659 50.04776838282014),24.087688
25,42025877,0.000414399222,R42025877XS1764141,49.24886235857282,125.07969568687388,10,1640.0,100.0,49.25,125.083333,11200260,liujiatun,0.00089992800576,POINT (125.0796956868739 49.24886235857282),23.484222
27,42025887,0.000464584913,R42025887XS1764723,49.3651399279101,128.9316666662592,11,1694.0,173.5048628,49.359683,128.9328,10400171,shuanghetun,0.001561418851692,POINT (128.9316666662592 49.3651399279101),22.942959
28,42026066,0.000836543507,R42026066XS1767713,49.367178080188815,128.93884474152014,2,710.0,148.4414869,49.365998,128.936576,10400241,kuerbin,0.001335866512779,POINT (128.9388447415201 49.36717808018881),11.201944
29,42045708,0.000434467297,R42045708XS1786689,45.808860478947295,128.7230271406904,13,1827.0,230.7806383,45.807028,128.7205,11021670,lianhua,0.002076859595932,POINT (128.7230271406904 45.8088604789473),14.14196
33,42059330,2.7451939e-05,R42059330XS1798731,42.328819339500704,123.8363193348935,17,2226.0,100.0,42.333333,123.833333,20600200,tieling,0.00089992800576,POINT (123.8363193348935 42.3288193395007),108.401436
36,42061735,0.000149243715,R42061735XS1802265,41.18385447705138,122.71718780609112,4,1006.0,100.0,41.183333,122.716666,21110800,tangmazhai,0.00089992800576,POINT (122.7171878060911 41.18385447705138),37.913963
39,42061756,0.000125753939,R42061756XS1802714,41.2641666667597,122.68169069603108,14,1931.0,100.0,41.266666,122.683333,21101000,xingjiawopeng,0.00089992800576,POINT (122.6816906960311 41.2641666667597),32.478508
40,43004870,0.004511909220366,R43004870XS1827576,39.72956092214573,118.75833333282016,15,1975.0,552.5258919,39.733333,118.75,30101400,luanxian,0.004972335240281,POINT (118.7583333328202 39.72956092214573),36.04438
43,43027816,0.000206590517,R43027816XS1857028,34.72161984777176,112.931619847028,5,1470.0,100.0,34.71667,112.9333,41657600,heishiguan,0.00089992800576,POINT (112.931619847028 34.72161984777176),52.578365
46,43030084,0.003501200643,R43027826XS1857304,34.709166667325974,112.60555461990454,0,35.0,100.0,34.71667,112.5833,41643400,baimasi,0.00089992800576,POINT (112.6055546199045 34.70916666732597),0.005345173
49,43027970,0.002166910388,R43027970XS1858753,34.55773428699595,112.4727342841923,1,681.0,100.0,34.55,112.4667,41654600,longmenzhen,0.00089992800576,POINT (112.4727342841923 34.55773428699595),14.195982
52,43044098,0.000142441977,R43044098XS1910918,32.30166666701941,115.74654984666518,6,1512.0,208.4318423,32.301211,115.747493,50500900,jiangjiaji,0.001875736521778,POINT (115.7465498466652 32.30166666701941),52.981815
