date,width,Q,83Q,stationid
2017-09-27,145.5064108106825,46.4,57.49762297609377,changjiangtun
2018-07-28,200.8861771689521,660.0,135.88276029972658,changjiangtun
2018-09-30,217.1742887496948,660.0,167.2835758337833,changjiangtun
2001-05-31,283.11265658291904,300.0,333.2166846650314,dalai
2001-07-10,242.99522150213076,90.0,221.6984216397613,dalai
2001-08-11,322.08420942826706,990.0,469.9883958102277,dalai
2001-09-12,318.6453523393111,600.0,456.7258030979507,dalai
2001-09-28,286.5511447975852,220.0,344.11825082716206,dalai
2001-10-14,267.0656044699929,173.0,285.2002282069204,dalai
2002-05-10,289.9897796075994,300.0,355.24051488598934,dalai
2002-05-18,263.6269100674716,175.0,275.51248510995885,dalai
2002-08-30,303.7443616832388,305.0,401.96716524213,dalai
2002-09-23,300.3058408425071,300.0,389.9468264220446,dalai
2002-10-09,277.38130781693894,208.0,315.5303624776068,dalai
2004-05-14,315.2068533602628,1080.0,443.7009751558963,dalai
2004-07-26,286.55114490855823,190.0,344.118251182541,dalai
2004-08-18,306.03720048384235,320.0,410.1095669711996,dalai
2004-09-19,302.59820245916205,363.0,397.9350829564304,dalai
2004-10-14,294.57466008966617,312.0,370.4159449060693,dalai
2005-04-15,277.3812320223722,93.1,315.5301325608244,dalai
2005-10-17,286.5511016290838,135.0,344.1181125847798,dalai
2006-04-27,289.9896982643821,98.0,355.24024916260487,dalai
2006-05-20,267.06533336292614,73.1,285.1994561645898,dalai
2006-06-05,272.79637850674715,60.0,301.813212012833,dalai
2006-08-08,609.7695309170809,1650.0,2577.9662745860323,dalai
2006-08-17,427.5329378995028,1730.0,1000.2015507852383,dalai
2006-08-24,398.8783898925781,1270.0,831.2723479079737,dalai
2006-09-02,340.4229831764915,560.0,544.777264040588,dalai
2006-10-04,311.7677411443537,272.0,430.90855473638464,dalai
2007-08-27,269.3578576660156,135.0,291.7747532218788,dalai
2007-09-05,281.96609630237924,158.0,329.6302226197624,dalai
2007-09-12,285.4048557350852,240.0,340.4596118405597,dalai
2007-09-21,289.9896603116122,200.0,355.2401251825689,dalai
2008-09-07,311.7677846457741,249.0,430.90871507058137,dalai
2008-10-09,293.42827880859375,132.0,366.58432337673855,dalai
2009-04-26,296.86692948774856,299.0,378.15237639570125,dalai
2009-09-10,412.6326735617898,1660.0,909.923642173687,dalai
2009-10-03,340.4229777388139,750.0,544.7772408355501,dalai
2009-10-12,331.2532708185369,650.0,506.5190453762301,dalai
2010-05-08,326.66828180486505,430.0,488.0382873923232,dalai
2010-06-25,319.79102328213776,436.0,461.1179505842237,dalai
2010-08-12,648.8095775257458,695.0,3041.9213771829436,dalai
2010-09-13,613.2765187766336,1200.0,2617.6939960865407,dalai
2010-10-15,334.69191639293325,450.0,520.6620305291,dalai
2011-10-02,308.3289222301136,320.0,418.35023634357066,dalai
2013-05-16,345.00795587713066,720.0,564.5636849919176,dalai
2013-06-01,345.0079016113281,745.0,564.5634481935335,dalai
2013-06-17,410.3401763361151,1415.0,896.5050792196408,dalai
2014-07-22,622.3761592240767,1760.0,2722.554032428492,dalai
2014-09-24,643.0064110218395,1680.0,2969.9065705697353,dalai
2016-07-18,320.9365587269176,424.5,465.53587763364175,dalai
2016-08-28,287.6966102183949,190.0,347.79870882024073,dalai
2016-09-20,336.9837464488636,595.0,530.2237666298746,dalai
2016-10-06,345.0070070578835,780.0,564.5595446610158,dalai
2016-10-31,341.5684700150923,620.0,549.6792937142511,dalai
2017-04-09,318.6441482821378,310.0,456.72120093031606,dalai
2017-05-11,260.1876083096591,140.0,266.0314223840486,dalai
2017-05-27,318.64422962535514,248.0,456.7215118408204,dalai
2017-06-12,328.9603831898082,310.0,497.22341964572826,dalai
2017-07-14,317.49807594992893,305.0,452.35379680945437,dalai
2017-07-21,356.4687829589844,179.0,615.9696603371791,dalai
2017-08-22,365.6385495827415,570.0,659.1343108012146,dalai
2017-08-31,319.7904375665838,340.0,461.1156984172441,dalai
2017-09-23,319.79044300426136,330.0,461.1157193259244,dalai
2017-10-02,309.4743383789062,307.0,422.5074399012754,dalai
2018-05-30,303.7432607199929,220.0,401.96327995968795,dalai
2018-07-01,334.6912979403409,625.0,520.6594649514576,dalai
2018-08-02,419.5094552334872,1740.0,950.9258550993712,dalai
2018-08-09,422.9482957874645,1800.0,971.8548151475957,dalai
2018-08-18,490.625176558061,2050.0,1443.7816799531613,dalai
2018-11-06,375.95417724609376,715.0,709.8965815368672,dalai
2015-10-13,336.98367620294744,690.0,530.2234718892672,dalai
2001-04-29,270.81598071837686,210.0,151.71880507858836,fuyu
2001-05-31,272.00330847122245,182.0,153.49909134539055,fuyu
2001-07-10,260.12547582276306,220.0,136.26856375041623,fuyu
2001-08-11,317.1396118621255,925.0,231.15819028141192,fuyu
2001-09-12,294.57159046644574,217.0,189.85276964394419,fuyu
2001-09-28,293.3836359031192,195.0,187.8179122989004,fuyu
2001-09-28,292.1959253661195,195.0,185.79715491431074,fuyu
2001-09-28,293.3836359031192,195.0,187.8179122989004,fuyu
2001-09-28,292.1959253661195,195.0,185.79715491431074,fuyu
2002-05-10,276.75440618965064,195.0,160.75337345055252,fuyu
2002-05-18,274.3785744427741,230.0,157.0996313066678,fuyu
2002-07-13,296.94726699657656,277.5,193.96328535781936,fuyu
2002-08-14,299.322799168276,355.0,198.12872254434805,fuyu
2002-08-30,315.9519290995509,387.5,228.85689875317593,fuyu
2002-09-16,287.4443173069186,327.5,177.8489275525909,fuyu
2002-10-02,281.50528182697656,290.0,168.21786078161313,fuyu
2002-10-09,293.38350274589624,266.0,187.81768498058986,fuyu
2002-10-25,282.6930312253116,280.0,170.1172101879311,fuyu
2003-09-10,313.5762748575389,249.5,224.29684723623632,fuyu
2003-10-28,281.50545956043715,251.0,168.2181440014809,fuyu
2004-09-28,286.2565737377838,321.5,175.89597230808275,fuyu
2004-10-14,308.82501083545475,295.0,215.348186626046,fuyu
2005-04-08,314.7636636455407,420.0,226.5688615195529,fuyu
2005-05-10,307.6368008159966,368.0,213.14578159517936,fuyu
2006-04-27,327.8291236220228,550.0,252.5232666702863,fuyu
2006-08-17,342.0827048083816,1000.0,282.87264938555865,fuyu
2006-09-18,344.4584422593706,430.0,288.14175710078683,fuyu
2006-10-04,342.0829267751858,365.0,282.8731388451429,fuyu
2006-10-20,340.89519406436534,339.0,280.2616370395415,fuyu
2007-04-23,331.3924107926615,500.0,259.9090891995166,fuyu
2007-07-19,336.1437414505062,350.0,269.9653694023777,fuyu
2007-09-05,345.64598089210995,330.0,290.79839718444026,fuyu
2007-09-21,340.8950164452028,326.0,280.26124763488764,fuyu
2008-03-31,342.08262720000874,280.0,282.8724782512562,fuyu
2008-09-07,357.5238856626361,430.0,318.21560707437726,fuyu
2008-09-16,350.397267088015,430.0,301.5804643073655,fuyu
2008-10-09,345.6462028589142,250.0,290.79889517085036,fuyu
2009-06-22,346.8338024125117,356.0,293.4709316116435,fuyu
2009-07-08,348.0217238294051,482.0,296.15899099096254,fuyu
2009-10-12,343.2705264430814,430.0,285.4995015475093,fuyu
2010-05-08,349.20930692408416,261.0,298.86161400207357,fuyu
2010-06-25,346.83385236075753,445.0,293.47104431392256,fuyu
2010-09-13,370.5894009593721,1125.0,350.1783530693321,fuyu
2010-10-15,358.7116461478816,745.0,321.0425405074434,fuyu
2011-04-25,342.0824330076296,480.0,282.87205003772584,fuyu
2011-10-02,332.57974426040937,158.0,262.39975885161925,fuyu
2013-10-07,292.1967859161034,548.0,185.79861410081034,fuyu
2014-07-22,305.2622349199731,889.0,208.78671288719013,fuyu
2014-07-22,305.2622349199731,889.0,208.78671288719013,fuyu
2014-07-22,305.2622349199731,889.0,208.78671288719013,fuyu
2014-07-22,305.2622349199731,889.0,208.78671288719013,fuyu
2014-09-24,280.3194028018566,296.0,166.33478054739618,fuyu
2014-09-24,281.50715780079594,296.0,168.22085017779293,fuyu
2014-09-24,280.3194028018566,296.0,166.33478054739618,fuyu
2014-09-24,281.50715780079594,296.0,168.22085017779293,fuyu
2014-11-27,248.249841468611,230.0,120.3035910184921,fuyu
2014-11-27,248.249841468611,230.0,120.3035910184921,fuyu
2014-11-27,248.249841468611,230.0,120.3035910184921,fuyu
2014-11-27,248.249841468611,230.0,120.3035910184921,fuyu
2015-10-13,250.62546244989173,3.8596491228070176,123.39810443038046,fuyu
2015-10-13,250.62546244989173,3.8596491228070176,123.39810443038046,fuyu
2015-10-13,250.62546244989173,3.8596491228070176,123.39810443038046,fuyu
2015-10-13,250.62546244989173,3.8596491228070176,123.39810443038046,fuyu
2016-09-29,375.3416693183812,440.0,362.2814199865236,fuyu
2016-09-29,375.3416693183812,440.0,362.2814199865236,fuyu
2016-09-29,375.3416693183812,440.0,362.2814199865236,fuyu
2016-09-29,375.3416693183812,440.0,362.2814199865236,fuyu
2017-07-14,369.4024729067913,590.0,347.19551573705974,fuyu
2017-07-14,369.4024729067913,590.0,347.19551573705974,fuyu
2017-07-14,369.4024729067913,590.0,347.19551573705974,fuyu
2017-07-14,369.4024729067913,590.0,347.19551573705974,fuyu
2017-08-31,364.6515362343092,395.0,335.4152247065773,fuyu
2017-10-02,363.463759061549,164.5,332.5096715178308,fuyu
2017-10-02,364.6515916688612,164.5,335.41536068000744,fuyu
2017-10-02,363.463759061549,164.5,332.5096715178308,fuyu
2017-10-02,364.6515916688612,164.5,335.41536068000744,fuyu
2018-05-30,367.0269352487857,548.0,341.2734301574838,fuyu
2018-07-01,368.2148677525896,565.0,344.2269213410373,fuyu
2018-07-01,368.2148677525896,565.0,344.2269213410373,fuyu
