COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,STCD,stationid,node_data_num,width_u_r
42045708,16,42243200030021,45.80693665,128.7236319,772393296.896,112.01759,0.09274,1006.58448,16.179842,11021670.0,lianhua,36,0.01607400304840782
42045708,2,42243200030021,45.80746567,128.7228486,771314382.811,110.98094,0.10192,117.564553,2.740449,11021670.0,lianhua,36,0.0233101639062924
42045708,7,42243200030021,45.80737804,128.7227845,766985183.602,110.37552,0.09576,135.439917,3.289216,11021670.0,lianhua,36,0.024285425396413967
42045708,2,42243200030021,45.80741761,128.7227935,771535161.063,110.70288,0.09743,127.72961,3.199283,11021670.0,lianhua,36,0.025047308920774128
42045708,5,42243200030021,45.8072434,128.7230701,766764405.189,110.62802,0.09288,333.06453,8.93165,11021670.0,lianhua,36,0.026816575154370234
42045708,2,42243200030021,45.80742662,128.7226021,767708972.403,109.7678,0.09509,241.200741,6.561384,11021670.0,lianhua,36,0.027203001005705867
42045708,2,42243200030021,45.80743672,128.7226615,767929750.083,109.79985,0.09504,228.103824,7.403266,11021670.0,lianhua,36,0.03245568561796667
42045708,2,42243200030021,45.80734653,128.7226685,774919791.334,109.59349,0.10656,95.599572,3.408742,11021670.0,lianhua,36,0.03565645670463881
42045708,7,42243200030021,45.80785311,128.7220718,774196000.612,110.46381,0.09402,366.689793,9.794787,11021670.0,lianhua,36,0.026711370719828025
42045708,2,42243200030021,45.80741565,128.7228031,775140569.371,110.60949,0.0968,129.415058,3.165966,11021670.0,lianhua,36,0.024463660171600746
42045708,5,42243200030021,45.80713622,128.7224561,752342765.645,109.83801,0.10044,77.138963,4.024866,11021670.0,lianhua,36,0.05217682275557684
42045708,8,42243200030021,45.80736627,128.7223441,751705406.597,109.65188,0.09402,181.995035,8.563608,11021670.0,lianhua,36,0.04705407485429479
42045708,7,42243200030021,45.80652022,128.7242372,765182477.426,110.92336,0.0931,579.686525,13.719624,11021670.0,lianhua,36,0.023667315709986533
42045708,8,42243200030021,45.80750551,128.7226761,766127046.304,110.51509,0.09295,282.533474,6.926469,11021670.0,lianhua,36,0.0245155694365617
42045708,16,42243200030021,45.80758454,128.7223602,752563544.015,109.90507,0.22933,28.234701,1.37346,11021670.0,lianhua,36,0.048644396836361035
42025877,0,42249800140261,49.24794694,125.0786605,768653471.356,222.90221,0.11008,234.970891,8.141263,11200260.0,liujiatun,44,0.03464796411739359
42025877,9,42249800140261,49.24813628,125.0789411,752736466.254,223.75387,0.15987,166.004318,5.038942,11200260.0,liujiatun,44,0.030354282712091857
42025877,3,42249800140261,49.24772393,125.0780388,767795343.021,222.61165,0.23378,120.416203,2.493153,11200260.0,liujiatun,44,0.020704464498021085
42025877,6,42249800140261,49.24802329,125.0789495,765355399.447,222.81831,0.17174,145.18345,1.625983,11200260.0,liujiatun,44,0.01119950655532707
42025877,0,42249800140261,49.24752765,125.0786268,762694569.024,224.19373,0.14589,318.110896,8.743722,11200260.0,liujiatun,44,0.027486395813364404
42025877,0,42249800140261,49.24800902,125.0789785,774061584.664,222.9363,0.10398,165.86979,7.823877,11200260.0,liujiatun,44,0.0471687882404626
42025877,0,42249800140261,49.24813156,125.078377,769905385.336,221.65537,0.0958,142.296847,5.76676,11200260.0,liujiatun,44,0.04052626689613157
42025877,5,42249800140261,49.24816184,125.0787295,769598047.831,222.3355,0.15438,133.481971,4.822596,11200260.0,liujiatun,44,0.03612919380700484
42025877,6,42249800140261,49.24811137,125.0787902,767158105.734,223.08894,0.12094,151.28223,4.563379,11200260.0,liujiatun,44,0.030164673008852397
42025877,0,42249800140261,49.24802512,125.0789537,768102680.446,223.23167,0.1011,167.772353,6.909825,11200260.0,liujiatun,44,0.041185719079710345
42025877,9,42249800140261,49.24833578,125.0789366,754539171.723,223.90812,0.16263,165.94749,4.579361,11200260.0,liujiatun,44,0.027595241121152237
42025877,9,42249800140261,49.24809262,125.0787267,768960809.696,223.25812,0.10974,176.039116,5.422445,11200260.0,liujiatun,44,0.030802500735120707
42025877,6,42249800140261,49.24800598,125.078563,772566218.979,222.82494,0.11747,167.010947,3.617668,11200260.0,liujiatun,44,0.021661262719503055
42025877,0,42249800140261,49.24808012,125.0785502,751878337.714,222.65856,0.09431,156.656615,5.567014,11200260.0,liujiatun,44,0.03553641191596027
42025877,0,42249800140261,49.24808789,125.0785079,748272930.852,223.19683,0.09609,192.325772,7.369296,11200260.0,liujiatun,44,0.038316736874972744
