node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,stationid,COMID,date
42249900150181,42249900151,750626427.986,50.04895603,125.3211777,271.35546,0.0942,158.548342,8.240486,0,0,0,0.0,144.0,1,1,0,-21915.61328,0.02781,205.69947398,SWOT_L2_HR_RiverSP_Node_005_060_AS_20231014T191849_20231014T192603_PGD0_01.zip,shihuiyao,42020496,2023-10-14
42249900150191,42249900151,750626427.972,50.05011494,125.3232431,271.47495,0.09409,147.855931,8.91175,0,0,0,0.0,159.0,1,1,0,-22093.49609,0.02744,196.11324572,SWOT_L2_HR_RiverSP_Node_005_060_AS_20231014T191849_20231014T192603_PGD0_01.zip,shihuiyao,42020496,2023-10-14
42481500090731,42481500091,748052156.47,42.32851412,123.8359882,52.86363,0.09895,91.23965,4.835286,0,0,0,0.0,75.0,1,1,0,42084.49219,0.04112,189.30001422,SWOT_L2_HR_RiverSP_Node_003_394_AS_20230915T001201_20230915T001819_PGD0_01.zip,tieling,42059330,2023-09-15
42481500090741,42481500091,748052156.45,42.33003843,123.837509,52.97134,0.09896,101.786476,4.944737,0,0,0,0.0,144.0,1,1,0,41924.03906,0.04114,201.89216108,SWOT_L2_HR_RiverSP_Node_003_394_AS_20230915T001201_20230915T001819_PGD0_01.zip,tieling,42059330,2023-09-15
42481500090751,42481500091,748052156.431,42.33142197,123.8389618,52.98408,0.10178,100.076222,5.262951,0,0,0,0.0,165.0,1,1,0,41765.07812,0.04753,218.73534274,SWOT_L2_HR_RiverSP_Node_003_394_AS_20230915T001201_20230915T001819_PGD0_01.zip,tieling,42059330,2023-09-15
42243200030021,42243200031,748100016.402,45.80770908,128.7224393,110.07193,0.09405,176.203271,5.808322,0,0,0,0.07470161689,127.0,1,1,0,44102.78125,0.02729,200.1879859,SWOT_L2_HR_RiverSP_Node_003_409_AS_20230915T133109_20230915T133648_PGD0_01.zip,lianhua,42045708,2023-09-15
42257000080041,42257000081,748100076.651,49.3683749,128.9395992,108.44611,0.14059,86.941614,3.2445,0,0,0,0.14312994144,80.0,1,1,0,-48040.75,0.108,215.89651995,SWOT_L2_HR_RiverSP_Node_003_409_AS_20230915T133109_20230915T133648_PGD0_01.zip,kuerbin,42026066,2023-09-15
42440400440891,42440400441,748099939.408,41.74258167,125.9544646,372.97898,0.13431,258.722221,4.903206,1,1,0,0.11888588988,256.0,1,1,0,-59911.84766,0.0997,188.59632496,SWOT_L2_HR_RiverSP_Node_003_409_AS_20230915T133109_20230915T133648_PGD0_01.zip,tonghua,42060702,2023-09-15
42440400440901,42440400441,748099939.433,41.74372516,125.9563835,372.76098,0.11906,184.021239,4.608054,0,0,0,0.02108319191,254.0,1,1,0,-59773.75,0.07795,222.52562473,SWOT_L2_HR_RiverSP_Node_003_409_AS_20230915T133109_20230915T133648_PGD0_01.zip,tonghua,42060702,2023-09-15
43210800200011,43210800201,749429015.554,34.55614674,112.4722833,148.98333,0.17548,119.955657,5.502709,0,0,0,0.0,284.0,1,1,0,51644.14062,0.15065,154.71454696,SWOT_L2_HR_RiverSP_Node_004_256_AS_20230930T223912_20230930T224707_PGD0_01.zip,longmenzhen,43027970,2023-09-30
43210800530021,43210800531,749429013.338,34.70968339,112.6019584,113.39501,0.15311,23.376691,2.41761,0,0,0,0.20943882337,155.0,1,1,0,36540.17188,0.12387,214.71661345,SWOT_L2_HR_RiverSP_Node_004_256_AS_20230930T223912_20230930T224707_PGD0_01.zip,baimasi,43030084,2023-09-30
43210800530011,43210800531,750334674.308,34.71011736,112.6035342,113.12089,0.09444,290.738476,10.95779,0,0,0,0.0,87.0,1,1,0,21752.76367,0.02862,154.11416728,SWOT_L2_HR_RiverSP_Node_004_549_AS_20231011T101047_20231011T102355_PGD0_01.zip,baimasi,43030084,2023-10-11
43210800530021,43210800531,750334674.303,34.71017107,112.6013174,113.06487,0.09301,257.685834,9.444204,0,0,0,0.0,155.0,1,1,0,21569.92188,0.02346,214.71661345,SWOT_L2_HR_RiverSP_Node_004_549_AS_20231011T101047_20231011T102355_PGD0_01.zip,baimasi,43030084,2023-10-11
43210800200021,43210800201,750373586.315,34.55432125,112.4717201,148.64015,0.12771,147.344052,4.214249,0,0,0,0.0,189.0,1,1,0,-59074.34375,0.09061,213.60212559,SWOT_L2_HR_RiverSP_Node_004_562_AS_20231011T210209_20231011T211004_PGD0_01.zip,longmenzhen,43027970,2023-10-11
42243200030031,42243200031,749902717.495,45.80565125,128.7212187,109.98332,0.09827,156.101335,5.360021,0,0,0,0.02749589324,241.5,1,1,0,43154.92188,0.03945,208.83850155,SWOT_L2_HR_RiverSP_Node_004_409_AS_20231006T101610_20231006T102149_PGD0_01.zip,lianhua,42045708,2023-10-06
42257000080041,42257000081,749902777.781,49.36844531,128.9396426,109.3478,0.14701,77.480233,3.489437,0,0,0,0.12626151658,80.0,1,1,0,-48928.17188,0.11624,215.89651995,SWOT_L2_HR_RiverSP_Node_004_409_AS_20231006T101610_20231006T102149_PGD0_01.zip,kuerbin,42026066,2023-10-06
42257000080061,42257000081,749902777.716,49.36502771,128.9371446,109.49543,0.16992,70.832648,3.527686,0,0,0,0.0,80.0,1,1,0,-48999.31641,0.14412,217.67957961,SWOT_L2_HR_RiverSP_Node_004_409_AS_20231006T101610_20231006T102149_PGD0_01.zip,kuerbin,42026066,2023-10-06
42481500090751,42481500091,751657562.994,42.33147007,123.8389201,52.49939,0.09912,104.387229,4.820873,0,0,0,0.04078056819,165.0,1,1,0,41687.35938,0.04152,218.73534274,SWOT_L2_HR_RiverSP_Node_005_394_AS_20231026T174208_20231026T174826_PGD0_01.zip,tieling,42059330,2023-10-26
42246100030141,42246100031,750933706.357,45.19327045,124.757812,128.53588,0.10482,303.09623,3.989786,1,1,0,0.49832156686,344.0,1,1,0,41952.61719,0.05373,185.31239364,SWOT_L2_HR_RiverSP_Node_005_159_AS_20231018T083543_20231018T084509_PGD0_01.zip,fuyu,42047860,2023-10-18
42272100010491,42272100011,750933820.442,51.66958492,126.6108049,170.32166,0.09362,268.139746,6.790019,0,0,0,0.33980016802,123.0,1,1,0,-28934.89844,0.02579,186.41649411,SWOT_L2_HR_RiverSP_Node_005_159_AS_20231018T083543_20231018T084509_PGD0_01.zip,humaqiao,42012937,2023-10-18
42481500090741,42481500091,750933655.297,42.33020334,123.8377252,52.72736,0.11272,84.680782,3.364774,0,0,0,0.19012148202,144.0,1,1,0,51597.43359,0.06787,201.89216108,SWOT_L2_HR_RiverSP_Node_005_159_AS_20231018T083543_20231018T084509_PGD0_01.zip,tieling,42059330,2023-10-18
42481500090751,42481500091,750933655.325,42.33145364,123.8388784,52.61571,0.09833,110.014537,4.383445,0,0,0,0.0,165.0,1,1,0,51668.56641,0.0396,218.73534274,SWOT_L2_HR_RiverSP_Node_005_159_AS_20231018T083543_20231018T084509_PGD0_01.zip,tieling,42059330,2023-10-18
42249900150171,42249900151,751878360.965,50.04799568,125.3189902,270.9681,0.09384,166.005165,9.851602,0,0,0,0.0,84.0,1,1,0,20860.61914,0.02656,178.37263886,SWOT_L2_HR_RiverSP_Node_005_465_AS_20231029T065812_20231029T070757_PGD0_01.zip,shihuiyao,42020496,2023-10-29
42249900150181,42249900151,751878360.989,50.04899449,125.3212472,271.14075,0.09533,119.402968,7.315862,0,0,0,0.0,144.0,1,1,0,20985.30664,0.03144,205.69947398,SWOT_L2_HR_RiverSP_Node_005_465_AS_20231029T065812_20231029T070757_PGD0_01.zip,shihuiyao,42020496,2023-10-29
42249900150191,42249900151,751878361.014,50.0501381,125.3231534,271.23253,0.09262,131.208869,8.568913,0,0,0,0.0,159.0,1,1,0,21087.07227,0.02186,196.11324572,SWOT_L2_HR_RiverSP_Node_005_465_AS_20231029T065812_20231029T070757_PGD0_01.zip,shihuiyao,42020496,2023-10-29
42249900150181,42249900151,750075655.613,50.04897517,125.3210849,271.58758,0.09374,154.742413,8.870328,0,0,0,0.0,144.0,1,1,0,20244.79688,0.02621,205.69947398,SWOT_L2_HR_RiverSP_Node_004_465_AS_20231008T101306_20231008T102252_PGD0_01.zip,shihuiyao,42020496,2023-10-08
