,node_id,lat,lon,time,wse,wse_u,width,width_u,STCD
5,42243200030021,-999999999999.0,-999999999999.0,763158995.615,-999999999999.0,-999999999999.0,6.222707,0.056005,11021670.0
6,42243200030031,-999999999999.0,-999999999999.0,763158995.618,-999999999999.0,-999999999999.0,92.004933,0.98644,11021670.0
7,42257000070041,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400241.0
8,42257000070051,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400241.0
9,42257000070061,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400241.0
10,42258000020291,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400171.0
11,42258000020301,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400171.0
12,42258000020311,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400171.0
13,42272100010491,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400070.0
14,42272100010501,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10400070.0
0,42243100090651,45.96507063,128.7529261,769511676.769,100.43006,0.1043,1063.940802,3.968121,11022450.0
1,42243100090661,45.96435214,128.7497261,769511676.77,100.48088,0.10802,1029.475826,2.754938,11022450.0
2,42243200030021,45.80726413,128.7225754,769511677.135,109.44594,0.11421,59.846928,3.115101,11021670.0
3,42243200030031,45.80533151,128.7220096,769511677.138,110.01848,0.16651,80.202627,2.287346,11021670.0
4,42249900340171,50.04799857,125.3190323,769511596.827,271.09866,0.15571,138.428744,5.257324,11200020.0
5,42249900340181,50.04890828,125.3212233,769511596.825,271.5174,0.13606,143.150432,5.085058,11200020.0
6,42249900340191,50.05009063,125.3232514,769511596.824,271.18354,0.13246,124.749829,4.778864,11200020.0
0,42241500150101,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11121820.0
1,42241500150111,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11121820.0
2,42241500150101,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11121820.0
3,42241500150111,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11121820.0
0,43428700010821,32.4357555,115.4171478,770116933.851,21.17364,0.1084,193.076142,5.47789,50100700.0
1,43428700020014,32.43467543,115.4154162,770116933.853,21.26958,0.10503,189.695324,6.142977,50100700.0
2,43428700020024,32.43422802,115.4132969,770116933.853,21.19185,0.10712,167.607343,7.792648,50100700.0
3,43210800030551,34.72228096,112.9313657,770164419.317,108.93234,0.13809,61.482266,2.967673,41657600.0
4,43210800030561,34.72112824,112.9304928,770164419.313,108.64843,0.12391,67.789419,3.133404,41657600.0
5,43210800030571,-999999999999.0,-999999999999.0,770164419.309,-999999999999.0,-999999999999.0,11.31762,0.002258,41657600.0
6,43210800180074,34.55768678,112.4728591,770164410.153,149.31539,0.09702,-999999999999.0,-999999999999.0,41654600.0
7,43210800190011,34.55600617,112.4724246,770164410.148,148.8959,0.09648,425.051519,12.384923,41654600.0
8,43210800190021,34.55422276,112.4720098,770164410.143,149.40219,0.09621,211.733994,11.302387,41654600.0
9,43210800500024,34.70946925,112.6066928,770164410.577,112.86264,0.14419,29.317825,3.366642,41643400.0
10,43210800510011,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,41643400.0
11,43210800510021,-999999999999.0,-999999999999.0,770164410.573,-999999999999.0,-999999999999.0,16.389657,0.003991,41643400.0
0,43120100160181,39.73032721,118.7565427,752775030.878,28.75534,0.1208,255.595619,5.658992,30101400.0
1,43120100160191,39.73224033,118.7561873,752775030.874,29.03936,0.31286,285.571558,6.278253,30101400.0
2,43120100160201,39.73383129,118.7555427,752775030.869,28.73035,0.24469,299.303144,5.672216,30101400.0
3,42246100030131,45.19309675,124.7549379,752736396.384,128.48742,0.09319,345.375287,5.592057,10959200.0
4,42246100030141,45.19285917,124.7573227,752736396.385,128.47788,0.09449,351.76601,6.933336,10959200.0
5,42246100030151,45.19243673,124.7597233,752736396.385,128.56621,0.0953,343.61424,5.25229,10959200.0
6,42247700040351,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11420330.0
7,42247700040361,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11420330.0
8,42247700040371,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,11420330.0
9,42249800140261,49.24813628,125.0789411,752736466.254,223.75387,0.15987,166.004318,5.038942,11200260.0
10,42249800140271,49.24963467,125.0801361,752736466.258,223.40365,0.13881,147.558916,4.141205,11200260.0
11,42249800140281,49.25124671,125.0808877,752736466.262,223.75482,0.13518,155.615757,4.855337,11200260.0
12,42249900340171,50.04790888,125.3190523,752736485.422,270.50158,0.2958,108.868269,4.63498,11200020.0
13,42249900340181,50.04895838,125.3211398,752736485.425,271.08268,0.20834,128.122467,4.495146,11200020.0
14,42249900340191,50.05012544,125.3231225,752736485.429,271.47458,0.25303,122.749881,4.35703,11200020.0
15,42272100010491,51.66938355,126.6106569,752736515.593,169.71726,0.09393,242.682232,7.389871,10400070.0
16,42272100010501,51.66776923,126.6095552,752736515.588,169.6663,0.09321,242.288996,10.319822,10400070.0
17,42460000040281,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,21110800.0
18,42460000040291,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,21110800.0
19,42460000040301,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,21110800.0
20,42460000150161,41.26291048,122.678691,752736325.996,4.28274,0.1555,216.966785,12.693007,21101000.0
21,42460000150171,41.26387426,122.6820239,752736325.999,4.03773,0.21537,133.119373,8.234153,21101000.0
22,42460000150181,41.26420228,122.6826963,752736326.003,4.37644,0.26547,127.980198,8.557007,21101000.0
23,42481500090731,42.32924439,123.8363506,752736346.221,51.75211,0.7085,3.868655,0.203563,20600200.0
24,42481500090741,42.33028879,123.8375698,752736346.224,52.84422,0.15739,72.949936,2.047858,20600200.0
25,42481500090751,42.3314291,123.8389283,752736346.228,52.89008,0.10748,106.600701,3.988465,20600200.0
0,42246100030131,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10959200.0
1,42246100030141,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10959200.0
2,42246100030151,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10959200.0
3,42249800140261,49.24772393,125.0780388,767795343.021,222.61165,0.23378,120.416203,2.493153,11200260.0
4,42249800140271,49.24935755,125.0790403,767795343.019,225.23698,0.90459,98.510803,0.609401,11200260.0
5,42249800140281,-999999999999.0,-999999999999.0,767795343.016,-999999999999.0,-999999999999.0,133.843108,0.043465,11200260.0
0,43428400030521,32.30280626,115.7465335,743934499.123,26.03213,0.09561,257.394461,9.414585,50500900.0
1,43428400030531,32.30233611,115.7447879,743934499.122,26.04525,0.09545,288.246636,10.006495,50500900.0
2,43428400030541,32.30147424,115.7430779,743934499.122,26.08768,0.09433,271.17597,9.795848,50500900.0
3,43428700010821,32.43579793,115.4170328,743934498.505,21.63564,0.1106,176.361357,5.109831,50100700.0
4,43428700020014,32.43485413,115.4153078,743934490.093,22.03969,0.11008,142.182045,4.37685,50100700.0
5,43428700020024,32.435655,115.4131327,743934490.091,26.0884,0.11312,182.669211,8.056221,50100700.0
6,43210800030551,34.72196669,112.9319341,743981975.515,97.57509,0.21644,119.673612,3.262494,41657600.0
7,43210800030561,34.72086754,112.9307099,743981975.511,107.68992,0.22161,76.852961,2.654649,41657600.0
8,43210800030571,34.71921889,112.9304831,743981975.506,105.62752,0.41045,54.930623,0.704134,41657600.0
0,42246100030131,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10959200.0
1,42246100030141,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10959200.0
2,42246100030151,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,-999999999999.0,10959200.0
3,42247700040351,-999999999999.0,-999999999999.0,770542677.487,-999999999999.0,-999999999999.0,17.376753,2.923753,11420330.0
4,42247700040361,45.54265573,124.3533668,770542677.485,150.85559,0.13218,170.995661,9.546332,11420330.0
5,42247700040371,45.54284932,124.3501048,770542677.482,151.48923,0.1322,162.44604,9.029792,11420330.0
6,42440400830891,41.74148132,125.9526007,770542747.364,372.97398,0.09649,631.84735,14.823791,11605400.0
7,42440400830901,41.74238099,125.9547098,770542747.363,373.28055,0.09406,688.222855,14.124568,11605400.0
8,42440400830911,41.74427857,125.9560625,770542747.36,381.37626,0.09613,642.070152,13.306571,11605400.0
9,42241500150101,46.8369149,130.3419413,770590613.105,75.36883,0.12283,918.697737,2.930732,11121820.0
10,42241500150111,46.83137174,130.3341919,770590613.104,75.27454,0.10258,700.337999,4.894937,11121820.0
11,42242100050571,45.98972453,129.589144,770590602.169,115.42328,0.09274,367.170346,15.167303,11100120.0
12,42242100050581,45.98829489,129.590874,770590602.166,115.39678,0.0935,245.216187,11.044213,11100120.0
13,42242100050591,45.98678155,129.592019,770590602.163,115.43579,0.09277,341.702103,13.480541,11100120.0
14,42243100090651,45.96721313,128.7510829,770590593.163,101.70184,0.12236,984.626185,4.877537,11022450.0
15,42243100090661,45.96580195,128.7481149,770590593.16,101.69809,0.12631,1137.349609,4.843438,11022450.0
16,42243200030021,45.80740972,128.7228363,770590592.77,112.39723,0.09853,139.334726,3.580019,11021670.0
17,42243200030031,45.80629549,128.722114,770590592.766,112.5946,0.15887,94.905135,1.631785,11021670.0
