stationid,w50,w_low,w_high,num
Australia_116006,56.0372140128225,31.5132691494428,82.68248010688478,70
Australia_204007,91.35278860621132,48.70154200694558,123.37158857421386,288
Australia_802055,111.2593428017255,47.58454594843175,157.89466098000372,471
Australia_818035,49.80876599557735,38.96465668881804,60.83926861876092,365
Brazil_10200000,67.82346340229434,34.00696983147058,86.61012532665444,90
Brazil_10300000,127.84800318414368,87.25417756466325,151.2583910047053,71
Brazil_10500000,219.29512015420835,172.5080395876621,268.88996434822013,112
Brazil_10800000,108.94518548068116,58.23670762744779,141.5871016038716,52
Brazil_10910000,178.79721894517635,94.61065856308174,297.4904450579261,57
Brazil_11450000,781.6937182695611,766.7272984088962,791.8556567712617,40
Brazil_12150000,119.33302036035,75.2758317236468,150.34935006638233,61
Brazil_12180000,104.72369784431363,85.5890021387462,130.77911053950328,67
Brazil_12200000,332.30308003403064,258.90146984340885,359.7553980456357,126
Brazil_12230000,83.71862531173173,65.59862993815543,104.29700492803322,90
Brazil_12240000,407.482552929555,342.0068771347295,418.1820324869733,66
Brazil_12370000,70.86492876827536,50.37476541519065,102.34710582167662,119
Brazil_12390000,102.02936033091036,48.1975616015708,151.55792587781815,123
Brazil_12500000,124.3995712554304,76.39359470144231,179.93199893108994,97
Brazil_12520000,166.65375769139868,149.0504362549323,212.95533078089258,97
Brazil_12550000,168.97119821604167,137.34624099358535,219.62887286574744,209
Brazil_12560000,68.92433520626514,41.35426208818411,96.6184800645112,112
Brazil_12600001,99.62489515832812,84.19484306449382,114.47311284560041,124
Brazil_12650000,74.9705940419209,39.418878156566876,136.2815728581383,109
Brazil_12700000,305.1941273487753,232.41996246166153,402.6192537624221,196
Brazil_12880000,139.83564626334532,104.45573599795124,156.1719609334981,89
Brazil_13180000,144.154382944543,108.04614989343068,196.81044562705478,126
Brazil_13410000,147.88601184898448,116.12624340161057,188.14724517343936,140
Brazil_13650000,70.16997259907535,44.72831891684207,112.76368768989887,236
Brazil_13710001,229.239382452058,136.20643736229977,293.94806597096914,147
Brazil_13740000,111.26055703836872,69.8512740816213,150.66701400287607,138
Brazil_13750000,259.5171489883708,203.73362163526085,358.29999493455864,252
Brazil_13848000,64.81449654162495,44.29100132335337,80.21762843743939,154
Brazil_13849000,58.396530525266165,34.00601813353991,83.78160204627218,153
Brazil_13870000,284.905782796002,248.732395490356,360.70406358248664,145
Brazil_13880000,448.4315549895497,363.2875158451088,523.0710313843864,158
Brazil_13886000,233.599573865579,177.76589053719314,253.6650261910792,127
Brazil_14110000,652.155127223586,573.2325836035728,700.9235358080216,37
Brazil_14230000,175.36388818110825,70.5325348011544,228.3690181457211,31
Brazil_14250000,1079.319006663155,966.4293077318453,1101.9520766530493,39
Brazil_14260000,423.582454792729,51.4829140248319,432.0014215927325,31
Brazil_14440000,122.574347665433,74.28342882105564,142.7463243251347,103
Brazil_14450000,245.04231633254133,136.82772275466016,274.52047170780617,79
Brazil_14488000,202.5258175593033,49.746307224421145,220.0927800016011,65
Brazil_14495000,372.1648833084664,338.0129327205808,390.26832187262136,119
Brazil_14500000,435.4892133586566,403.4138298939256,465.7938079077336,125
Brazil_14515000,408.964630215842,357.59806593350834,424.4200782892674,96
Brazil_14526000,89.45077199473539,65.36388855196248,115.09244923668871,51
Brazil_14550000,64.3636846073313,32.1585221280833,92.74517781739216,125
Brazil_14650000,92.62851975787032,74.4714052794599,110.27073314024597,76
Brazil_14680001,173.828810778621,144.26136927889155,193.3000639227388,82
Brazil_14690000,212.73435184909323,195.60358686601043,230.18418173455882,96
Brazil_14710000,916.257937208018,891.6832195680055,964.3248511341228,92
Brazil_15130000,144.51211559842952,109.07544899544646,157.71321271318857,184
Brazil_15150000,245.686076046927,198.64501574012942,257.7524036272091,175
Brazil_15200000,629.4430426662268,579.515412886363,665.826782970559,140
Brazil_15320002,590.1191653048365,550.2327930855778,623.5764616923277,149
Brazil_15325000,158.00894285486834,140.02997157468502,186.80704662254752,166
Brazil_15326000,205.89018729474557,120.94589597042662,351.8613515614047,147
Brazil_15400000,849.37875903879,667.2481263103455,878.3100177764313,129
Brazil_15559000,90.45375166562424,70.59309327272494,103.5624613674876,193
Brazil_15560000,249.95171129624032,219.0845905294392,281.3345199364675,195
Brazil_15670000,244.54965896936503,187.43884695261545,270.88831808979035,146
Brazil_15790000,145.57462322045,80.79462222120361,288.9762054961135,153
Brazil_15795000,98.327827267575,85.75515676130814,106.16863214334475,145
Brazil_15820000,138.46228202938633,98.45536486317425,190.59995002276167,188
Brazil_15828000,321.4846204654655,89.0850516136801,619.8689443663009,212
Brazil_15830000,317.9045561452147,275.68143510882726,332.80653445351186,228
Brazil_15910000,83.90356503622745,63.90513243716988,98.2917818112438,233
Brazil_16080000,139.69163405346933,88.0675273675987,166.71587272927417,108
Brazil_16100000,220.80542191352652,139.8054034124898,240.180008803367,112
Brazil_16200000,174.98088940935335,130.9942312774808,198.7180299718006,94
Brazil_16370000,184.677984806948,150.69538513431462,207.13094849086087,79
Brazil_16430000,366.7158788126076,321.62682746054764,375.1258277396663,108
Brazil_16460000,151.17171937211867,71.05455392404623,202.91203629115358,83
Brazil_16480000,166.379921015015,91.10993496720073,181.2974161060524,72
Brazil_16500000,199.74793790658032,136.71365242294928,214.24935273885404,103
Brazil_16800000,136.082267859591,105.23516089616214,149.84886882641476,120
Brazil_17093000,450.2740194133939,417.8991464852128,481.623538246606,196
Brazil_17095000,134.55025447380766,114.62123962267239,157.83134684192243,199
Brazil_17120000,410.726336710942,374.8115881028524,492.8491701471921,198
Brazil_17122000,77.836336198108,55.00667766123543,98.00950811560458,204
Brazil_17123000,418.1726245700697,381.5852658119557,441.84479697303215,184
Brazil_17130000,952.6942873878512,908.988769513087,966.6218539003735,130
Brazil_17200000,71.9777913921925,54.97003176757364,102.84280747875236,239
Brazil_17280000,401.76157932307865,343.49306371012733,439.9200474247192,203
Brazil_17340000,399.3664599028424,356.226827153865,432.7562402310335,185
Brazil_17343000,117.81215023342578,83.01731367452082,153.06165216366202,182
Brazil_17380000,409.79253922476437,395.733872660641,439.2681397477164,168
Brazil_17610000,92.19083203148726,65.26798800401005,103.33374402633277,144
Brazil_17675000,301.0230082744825,195.22522903303457,328.1856554109579,156
Brazil_18415000,63.945481635614975,53.19965364946289,71.76124902706452,288
Brazil_18436000,135.999444430549,128.3397056063,172.4463335613181,437
Brazil_18500000,163.813168249541,125.76632170333919,187.67617604226245,159
Brazil_18520000,1643.76509659747,1604.4693733766094,1665.032409353059,83
Brazil_18590000,370.7876550956761,345.04552373995233,386.6290045787821,122
Brazil_18640000,166.377170180077,151.077430405133,192.87271953150918,140
Brazil_18650000,319.95741767273637,294.2440259402794,340.8931158779867,120
Brazil_18870000,71.00392923256244,33.85636470454137,81.75522898971849,56
Brazil_18880000,136.16450257311968,92.97034255550369,168.87536478864138,41
Brazil_19150000,487.0377771491977,464.7037437777875,522.367316830856,18
Brazil_20050000,53.01516783419325,43.117944141731634,74.0804075477082,315
Brazil_20090000,78.2630679274571,62.14728742883806,99.05281399601162,285
Brazil_20250000,66.6628898783344,30.03409139597405,96.85141868847826,287
Brazil_20489100,116.95641665685146,75.56115362734886,126.96739609281786,293
Brazil_20490000,136.76948350113034,90.36573837974174,165.30751549734086,287
Brazil_20500000,894.073445306914,67.6265118223592,1117.749703634092,341
Brazil_21050000,2016.762271161755,37.0542643871777,275.9548138322509,560
Brazil_21080000,296.182177078381,268.24197183958563,310.09147231799346,263
Brazil_21500000,72.7852178001364,55.018723916321015,87.94467122501538,359
Brazil_21650000,238.2158306413052,172.1947345447999,334.9944972731166,434
Brazil_21850000,51.5658952302529,37.95331869883494,63.09609333694313,296
Brazil_21890000,92.18017626708104,85.47807674358737,107.35783444154816,345
Brazil_21900000,268.3396508605515,131.96513263450578,296.91386075586126,448
Brazil_22250000,74.44244128836718,54.10981420812476,99.06116343662205,267
Brazil_22500000,496.22644708577735,445.86029492065546,549.1207214962313,237
Brazil_22900000,92.33586593276682,79.05120696179452,113.8988210559389,238
Brazil_23100000,567.7724642825123,543.6721026357445,598.4632691865024,227
Brazil_24700000,168.65963512048333,152.5951288058744,169.97865130615205,250
Brazil_24800000,110.414686400314,95.77008363549369,119.22099048157813,495
Brazil_24850000,277.66618477501135,261.9199546440702,292.44474321348207,526
Brazil_25200000,310.2327077199475,214.56927028716797,363.34641109759445,260
Brazil_25700000,460.5214191185165,198.67900942086652,557.9278926818345,278
Brazil_25800000,84.00417816600904,62.17209026754985,100.91541125026244,253
Brazil_25950000,646.6436087768095,275.61666152287114,805.7037971549533,244
Brazil_26030000,537.9058679360019,180.66594814764468,786.3128082685478,234
Brazil_26050000,52.48698439023953,41.74168818315654,61.69480896949563,262
Brazil_26100000,124.2895160942215,107.83855878461603,141.44343982019814,253
Brazil_26150000,62.68846481395349,41.82387437828175,85.94811045721306,266
Brazil_26200000,205.5467455564477,187.52249911453004,223.19472684045405,261
Brazil_26300000,336.87731870943253,259.3075860807427,405.2544011193453,439
Brazil_26350000,669.8012740784982,582.8516843555943,768.2342736279479,224
Brazil_26800000,182.72455494978,171.79039895204818,184.5404325669133,213
Brazil_29100000,94.29213440245108,79.70745196179583,104.02976009724524,125
Brazil_31680000,86.931406407145,81.24771524486275,91.39396788215323,72
Brazil_31700000,112.26943352247234,98.86750171516684,131.85351338058598,57
Brazil_32620000,87.4437884161218,70.5444042724284,104.1197668555383,21
Brazil_33680000,52.05116177738439,33.85545317894615,75.4347673231016,136
Brazil_34060000,49.7996359654023,38.19183987086735,65.66375345837156,327
Brazil_34070000,71.17751773817007,60.52624318358798,78.01442173432653,233
Brazil_34311000,192.3029426285225,159.2010205540158,222.1274734046912,225
Brazil_34660000,211.728251551963,192.7660564373455,227.22101059580345,184
Brazil_34690000,278.534948081558,201.48979588357298,292.278882575877,193
Brazil_34820000,243.76201978787867,187.01777484482227,278.10863893507866,220
Brazil_34940000,103.64501366062387,91.83582470270167,120.47186938130827,240
Brazil_38880000,53.754124194450355,30.5272482545864,65.33010947217154,10
Brazil_40850000,63.78114898147053,54.944916065695196,70.1747211898585,277
Brazil_41818000,70.9604618175745,60.42181541709911,90.96086492019231,213
Brazil_42210000,344.52671088863576,329.56420879241205,359.31356195676625,353
Brazil_42690001,101.38574762331547,86.10637994488728,126.4585027331018,454
Brazil_42930000,163.482200217852,146.92536748162445,175.55602201312604,299
Brazil_42980000,178.43059336392798,128.8645655140781,209.8922564873056,312
Brazil_43200000,316.13451485733367,293.6879143319737,361.4337403546572,315
Brazil_43880000,85.3047577933259,73.11814171271149,106.08969397054304,318
Brazil_43980002,76.92905858904021,66.83503619108457,97.68897326767197,315
Brazil_44200000,490.547869899861,345.8225230904235,573.505058835107,319
Brazil_45298000,452.6539550513327,419.8292075686793,592.5129604671115,588
Brazil_45480000,536.9271083335678,394.45949551994397,924.4512143517803,596
Brazil_46035000,406.0663567412183,333.35758558596524,461.66556773850465,640
Brazil_46998000,224.320702486056,30.3527079877758,283.3923375975214,387
Brazil_48020000,726.6251312450315,662.415229857094,764.8783667791486,90
Brazil_48290000,554.887172262258,509.726045232848,586.4499129977396,64
Brazil_48590000,254.19340224206303,223.80967356971854,296.03620251106327,110
Brazil_49330000,246.2532063103252,146.92819560704527,288.967564592238,48
Brazil_49370000,713.6121216617065,447.04445848037,733.6061776609383,56
Brazil_49705000,751.7913898764757,463.0390560236367,771.2550631113332,28
Brazil_51280000,51.822256660429,34.6828233382087,74.39995534197257,19
Brazil_52570000,61.1467995736244,30.5733997868122,85.77161571159462,26
Brazil_52695000,98.7976451950015,31.3612408527518,169.9768586106037,11
Brazil_54010005,62.1275848168148,33.91430877060857,73.59316686291832,174
Brazil_54150000,83.65904456707435,57.79967833560382,114.92967239461537,104
Brazil_54195000,58.716003657182284,30.4679472365839,72.794260704879,140
Brazil_54530000,153.36179297982451,71.0568583212656,186.8652950939554,112
Brazil_54580000,193.154912506331,166.31426997581127,210.34530318918104,123
Brazil_54710000,152.0021835257403,79.52597355399507,255.2368332864688,162
Brazil_54780000,273.53172028908625,99.01425106370338,327.7509020848375,50
Brazil_54950000,255.38351941512,158.15838257169474,328.99916909363054,103
Brazil_55699998,96.71656373024442,35.5198034747929,127.0826206756945,115
Brazil_56425000,109.80435313909514,92.27260947216743,123.66223522263519,95
Brazil_56539000,119.77357630006968,96.9072027335856,129.06334162448493,89
