stationid,width,wse,wse_max,wse_min,area
changjiangtun,120.13456117816013,112.14988409421682,112.52255512062715,111.91919784263406,53.15672600247695
changjiangtun,121.15831730753057,112.15600492929221,112.52589593116998,111.9225567298117,53.89518295951582
changjiangtun,122.18207343690099,112.15938091186435,112.52933998079796,111.92381784355739,54.305939418640996
changjiangtun,123.20582956627143,112.16288712043094,112.5340419915023,111.92515757214422,54.7361300024648
changjiangtun,124.22958569564186,112.16652743334372,112.54201701457607,111.92658010130721,55.1865011710932
changjiangtun,125.2533418250123,112.17030581092773,112.5500822401272,111.92808980222166,55.657821521562134
changjiangtun,126.27709795438273,112.17822475446492,112.55823793862275,111.92969123808852,56.653749196811134
changjiangtun,127.30085408375317,112.18760036271476,112.56648437912918,111.9313891708966,57.8424729663643
changjiangtun,128.3246102131236,112.19715041453992,112.57482182933083,111.93318856836503,59.063091182296965
changjiangtun,129.34836634249402,112.20687672507839,112.58325055554809,111.93509461106909,60.31619487597268
changjiangtun,130.37212247186446,112.21678111370674,112.59177082275512,111.93711269975299,61.60238120395477
changjiangtun,131.3958786012349,112.23230134096175,112.60038289459727,111.93924846283247,63.63373063632686
changjiangtun,132.41963473060534,112.2504554916838,112.60908703340804,111.94150776409118,66.02840393224618
changjiangtun,133.44339085997575,112.26858265567692,112.6178835002258,111.94389671057385,68.43807526454103
changjiangtun,134.4671469893462,112.28269977490008,112.6267725548101,111.94642166067977,70.32913776652067
changjiangtun,135.49090311871663,112.30122078415918,112.6357544556577,111.94908923246015,72.82908553933115
changjiangtun,136.51465924808707,112.31730864055375,112.64482946001823,111.95190631212287,75.01707875227089
changjiangtun,137.5384153774575,112.32539544478125,112.65399782390958,111.95488006274802,76.1251855334919
changjiangtun,138.56217150682792,112.34362828923344,112.66325980213296,111.95801793321795,78.64223506040109
changjiangtun,139.58592763619836,112.36283129144508,112.67261564828763,111.96132766736538,81.31287434190456
changjiangtun,140.6096837655688,112.38197420347247,112.68206561478551,111.96481731334326,83.99475431166708
changjiangtun,141.63343989493924,112.40105764881929,112.69160995286526,111.96849523321995,86.68783992411299
changjiangtun,142.65719602430966,112.41691548581626,112.70124891260627,111.97237011280355,88.94195720619943
changjiangtun,143.6809521536801,112.4273389294498,112.71098274294235,111.97645097169902,90.43427198003243
changjiangtun,144.70470828305054,112.4463042982507,112.72081169167508,111.980747173602,93.16894218356809
changjiangtun,145.72846441242098,112.46207854955983,112.73073600548705,111.98526843683297,95.4596251108726
changjiangtun,146.7522205417914,112.47694176119296,112.74152024392403,111.99002484511571,97.63322627041082
changjiangtun,147.77597667116183,112.4948859696796,112.75585828599517,111.99502685860394,100.27576395840246
changjiangtun,148.79973280053227,112.49814093871561,112.77016731873351,112.00028532515988,100.75843633398357
changjiangtun,149.8234889299027,112.5013469349727,112.78444759981842,112.005811491889,101.23712879955814
changjiangtun,150.84724505927312,112.5079080415079,112.798699382897,112.01161701693462,102.22349515841826
changjiangtun,151.87100118864356,112.51747252629319,112.8129229176741,112.01771398153642,103.6711671886517
changjiangtun,152.894757318014,112.52728509709003,112.82711844999965,112.02411490235718,105.1664349795512
changjiangtun,153.91851344738444,112.53735046284645,112.84128622195365,112.03083274408144,106.71052887413953
changjiangtun,154.94226957675488,112.5476733895706,112.85542647192861,112.03788093229046,108.30470248970155
changjiangtun,155.9660257061253,112.55825870063588,112.86953943470965,112.04527336661754,109.95023299887265
changjiangtun,156.98978183549573,112.56911127708533,112.88362534155247,112.05302443418782,111.6484214121953
changjiangtun,158.01353796486617,112.58023605793603,112.897684420259,112.06114902334691,113.40059286220746
changjiangtun,159.0372940942366,112.59163804048274,112.91171689525099,112.06966253768248,115.20809688898494
changjiangtun,160.06105022360703,112.60332228060133,112.92572298764165,112.07858091034309,117.07230772721327
changjiangtun,161.08480635297747,112.61529389305184,112.93970291530518,112.08792061865876,118.99462459472407
changjiangtun,162.1085624823479,112.62755805178094,112.95365689294455,112.09769869906724,120.97647198251788
changjiangtun,163.13231861171835,112.64229655594428,112.96758513215731,112.10793276235091,123.37325402256565
changjiangtun,164.1560747410888,112.65805198489882,112.98148784149976,112.11864100918817,125.9515385371226
changjiangtun,165.1798308704592,112.67401587776682,112.9953652265493,112.1298422460242,128.58028009450703
changjiangtun,166.20358699982964,112.69018967509845,113.00921748996517,112.1415559012653,131.26014421435582
changjiangtun,167.22734312920008,112.7076214725072,113.02304483154757,112.15380204180153,134.16629442626552
changjiangtun,168.2510992585705,112.72543052357764,113.03684744829525,112.166601389862,137.15357078302387
changjiangtun,169.27485538794093,112.74348972036087,113.0506255344616,112.17997534020768,140.20129460022784
changjiangtun,170.29861151731137,112.76180103164059,113.06437928160922,112.193945977666,143.31031232764528
changjiangtun,171.3223676466818,112.77921489692689,113.07810887866316,112.20853609501229,146.28478318271326
changjiangtun,172.34612377605225,112.79227581554919,113.09181451196277,112.22376921120231,148.52909628247392
changjiangtun,173.36987990542266,112.80940478825116,113.10549636531219,112.23966958996111,151.4899762773207
changjiangtun,174.3936360347931,112.82730979540571,113.11915462002966,112.25626225873249,154.60333039782176
changjiangtun,175.41739216416354,112.84543771462964,113.13278945499547,112.27357302799425,157.77400342923684
changjiangtun,176.44114829353396,112.86378999585922,113.1464010466988,112.29162851094377,161.0027068729918
changjiangtun,177.4649044229044,112.88094063195189,113.15998956928331,112.310456143559,164.0375638335575
changjiangtun,178.48866055227484,112.89747803785838,113.17355519459173,112.33008420503964,166.9808381274859
changjiangtun,179.51241668164528,112.9143239397187,113.1870980922092,112.35054183863348,169.9962636339719
changjiangtun,180.53617281101572,112.93148228367822,113.20061842950567,112.37185907285293,173.08518240429987
changjiangtun,181.55992894038616,112.94895704348806,113.21411637167718,112.39406684308659,176.24895360739308
changjiangtun,182.58368506975657,112.96675222054004,113.22759208178627,112.41719701361114,179.4889536492222
changjiangtun,183.607441199127,112.98487184390149,113.24799221692012,112.4412824000084,182.80657629236958
changjiangtun,184.63119732849742,113.00331997034978,113.27148848877172,112.46635679199281,186.2032327757217
changjiangtun,185.65495345786786,113.02210068440695,113.29529125627883,112.49245497665439,189.6803519343465
changjiangtun,186.6787095872383,113.04121809837389,113.31940279429679,112.51961276212252,193.23938031947645
changjiangtun,187.70246571660874,113.06067635236464,113.3438253819163,112.54786700165556,196.88178231868508
changjiangtun,188.72622184597918,113.08248254017386,113.3685613024479,112.57725561816163,200.9860196475688
changjiangtun,189.74997797534962,113.10904165355396,113.3936128434068,112.60781762915597,206.0120157989313
changjiangtun,190.77373410472006,113.13608334568578,113.4189822964977,112.63959317216005,211.15701833439405
changjiangtun,191.79749023409047,113.16094954355371,113.44467195759984,112.67262353054777,215.91356421588785
changjiangtun,192.82124636346092,113.18569029344171,113.47068412675208,112.70695115984434,220.67144219808648
changjiangtun,193.84500249283133,113.2089757763084,113.49702110813823,112.74261971448307,225.17329735452313
changjiangtun,194.86875862220177,113.23415524998312,113.52368521007243,112.77967407502564,230.06710131202016
changjiangtun,195.8925147515722,113.25704708219264,113.55067874498468,112.81816037585133,234.53972206404634
changjiangtun,196.91627088094265,113.28019246055145,113.5780040294065,112.85812603332073,239.08557604711
changjiangtun,197.9400270103131,113.30359285320871,113.60566338395671,112.89961977441955,243.7054722540348
changjiangtun,198.96378313968353,113.32724972913574,113.63365913332734,112.94269166588806,248.40022434987702
changjiangtun,199.98753926905394,113.3491365069429,113.66199360626966,112.98739314384198,252.7661038245922
changjiangtun,201.01129539842438,113.37533881077208,113.69066913558032,113.03377704389021,258.01965047514443
changjiangtun,202.0350515277948,113.40866996723815,113.71968805808761,113.08189763175541,264.73665090138354
changjiangtun,203.05880765716523,113.43500238485369,113.74905271463786,113.13181063440301,270.0702012381571
changjiangtun,204.08256378653567,113.4567644958722,113.77876545008189,113.18357327168452,274.5003291009518
changjiangtun,205.1063199159061,113.4826060834184,113.8088286132617,113.23724428850096,279.78737428151527
changjiangtun,206.13007604527655,113.50461119991122,113.8392445569971,113.29288398749208,284.31202668112206
changjiangtun,207.153832174647,113.52591467914252,113.87001563807263,113.35055426225772,288.7142192588173
changjiangtun,208.17758830401743,113.55240279900698,113.9011442172244,113.4103186311167,294.2148934833765
changjiangtun,209.20134443338785,113.57824882224647,113.93263265912724,113.46251206465311,299.6086862809769
changjiangtun,210.22510056275829,113.60320284221108,113.96448333238177,113.50006445436276,304.8418742220366
changjiangtun,211.2488566921287,113.6220108836713,113.99669860950172,113.53830121117593,308.8054240532627
changjiangtun,212.27261282149914,113.65247145258144,114.02928086690125,113.5772313997804,315.25577650678525
changjiangtun,213.29636895086958,113.68839423591288,114.06223248488241,113.6081190960963,322.8995876691812
changjiangtun,214.32012508024002,113.71864791337605,114.09555584762278,113.62494575227389,329.36807341335447
changjiangtun,215.34388120961046,113.76573609446238,114.129253343163,113.64188246534094,339.4841216805833
changjiangtun,216.3676373389809,113.81379174795138,114.16332736339466,113.65892942678855,349.85721125187416
changjiangtun,217.3913934683513,113.86359325426065,114.19778030404808,113.6735789664246,360.6581378066002
changjiangtun,218.41514959772175,113.91458333380636,114.2326145646803,113.6863652042904,371.7690429553408
changjiangtun,219.4389057270922,113.96070712196705,114.26783254866311,113.69913393354146,381.86678680189004
changjiangtun,220.4626618564626,114.00379722791072,114.31973619922226,113.7118852596697,391.3444893778724
changjiangtun,221.48641798583304,114.04330352307122,114.40989500018317,113.72461928704482,400.0743747749513
dalai,187.33799564930777,121.24667700824281,122.24273924882242,120.58730237697175,357.88387215452946
dalai,189.69680547845667,121.3209823406949,122.28524259125345,120.66486263646149,371.8917202764315
dalai,192.05561530760556,121.39460455204404,122.32781413799925,120.74197901539877,385.9444489795114
dalai,194.41442513675443,121.46755819813119,122.37045315877823,120.81865945961762,400.0416482564422
dalai,196.77323496590333,121.53985735256273,122.41315893990141,120.89491167829023,414.1829167811811
dalai,199.13204479505222,121.61151562825205,122.46964620546353,120.970743153721,428.3678616231643
dalai,201.49085462420112,121.68254619775601,122.52619769690968,121.04616115062439,442.5960979742031
dalai,203.84966445335002,121.75296181248723,122.58220232526014,121.12117272491936,456.86724888736137
dalai,206.20847428249888,121.82277482087625,122.63768533770208,121.19578473207109,471.18094502713706
dalai,208.56728411164778,121.89199718555264,122.69285635760826,121.2700038350079,485.5368244303804
dalai,210.92609394079668,121.96064049960813,122.74751496467778,121.3438365116398,499.93453227730714
dalai,213.28490376994557,122.02871600200086,122.80167156938722,121.41728906200281,514.3737206721472
dalai,215.64371359909444,122.09623459215473,122.85533625841764,121.49036761505161,528.8540484328497
dalai,218.00252342824334,122.16320684380449,122.90851880814205,121.56307813512157,543.3751808894326
dalai,220.36133325739223,122.22964301813302,122.96122869741193,121.63542642807948,557.9367896904794
dalai,222.72014308654113,122.29555307624443,123.01347511968609,121.7074181471813,572.5385526174391
dalai,225.07895291569002,122.36094669101287,123.0652669945425,121.77905879865376,587.1801534062517
dalai,227.4377627448389,122.4258332583447,123.11661297861038,121.8503537470156,601.8612815759934
dalai,229.7965725739878,122.49022190788891,123.16752147595754,121.9213082201531,616.5816322642061
dalai,232.15538240313668,122.55412151322788,123.21800064796551,121.99192731416376,631.3409060685091
dalai,234.51419223228558,122.61754070157906,123.2680584227223,122.06221599798096,646.1388088942927
dalai,236.87300206143448,122.68048786303535,123.3177025039615,122.13217911779134,660.9750518081106
dalai,239.23181189058334,122.74297115937084,123.36694037957328,122.20182140125664,675.8493508965684
dalai,241.59062171973224,122.80499853243613,123.41577932971228,122.27114746154996,690.7614271304225
dalai,243.94943154888114,122.86612266359225,123.46422643452507,122.3401618012168,705.6005340791926
dalai,246.30824137803003,122.92580467890176,123.51228858151836,122.40886881586974,720.2303170498058
dalai,248.66705120717893,122.98502086763762,123.55997247258819,122.47727279772566,734.8855922224624
dalai,251.0258610363278,123.04499337717749,123.60728463072857,122.54537793899361,749.8695111957283
dalai,253.38467086547672,123.1062807785389,123.6542314064372,122.61020798822796,765.3265165555227
dalai,255.7434806946256,123.1671992243358,123.70081898383438,122.67447467797659,780.834164407768
dalai,258.1022905237745,123.22704876087096,123.7470533865108,122.73832247492362,796.210880036753
