COMID,node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID_x,date,COMID_y,width_u_r
43027816,43210800030571,43210800031,759348202.102,34.71914957,112.9295488,108.99689,0.10893,136.314231,4.000179,8388608,3,1,0.0,108.0,1,1,0,51510.52734,0.06137,221.02968111,SWOT_L2_HR_RiverSP_Node_009_549_AS_20240123T175613_20240123T180922_PGD0_01.zip,5,heishiguan,43027816,2024-01-23,43027816,0.0293452779702803
43027816,43210800030571,43210800031,761150906.779,34.71918144,112.929711,109.31322,0.17968,85.495316,1.526467,8388615,3,1,0.82419634219,108.0,1,1,0,51180.58203,0.15551,221.02968111,SWOT_L2_HR_RiverSP_Node_010_549_AS_20240213T144118_20240213T145426_PGD0_01.zip,5,heishiguan,43027816,2024-02-13,43027816,0.017854393333080375
43027816,43210800030571,43210800031,767417153.525,34.7191678,112.9294795,109.26426,0.12385,99.209532,3.668021,4,1,0,0.0,108.0,1,1,0,-59053.29688,0.08508,221.02968111,SWOT_L2_HR_RiverSP_Node_014_243_AS_20240426T031905_20240426T033207_PGD0_01.zip,5,heishiguan,43027816,2024-04-26,43027816,0.036972465508656974
43027816,43210800030571,43210800031,769219857.809,34.71917325,112.9295241,109.70198,0.11725,125.091573,3.776416,0,0,0,0.0,108.0,1,1,0,-59322.22656,0.07515,221.02968111,SWOT_L2_HR_RiverSP_Node_015_243_AS_20240517T000412_20240517T001711_PGD0_01.zip,5,heishiguan,43027816,2024-05-17,43027816,0.03018921186641406
43027816,43210800030571,43210800031,799865836.655,34.71914836,112.929477,109.85175,0.11917,129.624361,3.976608,3,1,0,0.0,108.0,1,1,0,-59440.01953,0.07812,221.02968111,SWOT_L2_HR_RiverSP_Node_032_243_AS_20250506T165031_20250506T170330_PID0_03.zip,5,heishiguan,43027816,2025-05-06,43027816,0.030677937151026728
43027816,43210800030571,43210800031,800810409.009,34.7188337,112.9292173,108.98881,0.2356,75.930013,2.238364,0,0,0,0.32920638157,108.0,1,1,0,51201.82031,0.21773,221.02968111,SWOT_L2_HR_RiverSP_Node_032_549_AS_20250517T151300_20250517T152609_PID0_01.zip,5,heishiguan,43027816,2025-05-17,43027816,0.029479304843527416
43027816,43210800030571,43210800031,803471247.026,34.71925329,112.9296798,109.41065,0.13488,91.446056,3.575066,1,1,0,0.05325776304,108.0,1,1,0,-59736.25781,0.10046,221.02968111,SWOT_L2_HR_RiverSP_Node_034_243_AS_20250617T102042_20250617T103340_PID0_01.zip,5,heishiguan,43027816,2025-06-17,43027816,0.03909480798165861
43027816,43210800030571,43210800031,805273954.177,34.71929566,112.9292593,109.34284,0.11878,150.391283,4.226071,3,1,0,0.0,108.0,1,1,0,-58981.36719,0.07751,221.02968111,SWOT_L2_HR_RiverSP_Node_035_243_AS_20250708T070549_20250708T071847_PID0_01.zip,5,heishiguan,43027816,2025-07-08,43027816,0.0281005050006788
43027816,43210800030571,43210800031,806218525.976,34.71919608,112.9294471,108.36758,0.10979,131.495851,4.059274,0,0,0,0.0,108.0,1,1,0,51609.47266,0.06288,221.02968111,SWOT_L2_HR_RiverSP_Node_035_549_AS_20250719T052817_20250719T054126_PID0_01.zip,5,heishiguan,43027816,2025-07-19,43027816,0.030869977791162403
43027816,43210800030571,43210800031,807076658.813,34.71928515,112.9297614,108.5315,0.29169,49.330614,1.535297,7,1,0,0.57688515142,108.0,1,1,0,-59259.92578,0.27746,221.02968111,SWOT_L2_HR_RiverSP_Node_036_243_AS_20250729T035053_20250729T040352_PID0_01.zip,5,heishiguan,43027816,2025-07-29,43027816,0.031122600663352783
