,stationid,date,width,area_hypso,Q,Q_est,KGE,NSE,nRMSE,RV,pBIAS,CC
0,changjiangtun,2001-05-02,186.2931524377184,191.8967159523744,184.0,101.83919532531745,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
1,changjiangtun,2001-05-26,175.65757910073174,158.5298137136212,75.6,77.0324959415059,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
2,changjiangtun,2001-06-03,179.78267258381177,170.80998426593587,97.0,85.89288349479564,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
3,changjiangtun,2001-06-27,179.080364960898,168.721572286311,390.0,84.36960688038373,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
4,changjiangtun,2001-08-30,194.72598803444075,229.38307630880158,124.0,133.12307076196166,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
5,changjiangtun,2001-09-07,202.55850824322,267.4603803395692,37.0,167.49393512553058,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
6,changjiangtun,2001-10-09,169.57017077691427,141.09620618196493,26.8,64.94707132885542,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
7,changjiangtun,2002-06-30,187.7485961557835,197.0662389036224,311.5,105.90169160734703,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
8,changjiangtun,2002-09-18,208.417010244289,295.4739487689809,644.0,194.01867552221356,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
9,changjiangtun,2003-04-30,196.8489812576465,238.7860578174303,192.0,141.31658853597662,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
10,changjiangtun,2003-05-08,195.84782388585649,234.34398588540455,420.0,137.42872059916684,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
11,changjiangtun,2003-10-07,202.81822969862,268.814418409112,31.8,168.76533920301353,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
12,changjiangtun,2004-08-22,190.97538355206325,212.09190281958942,438.0,118.34653212374677,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
13,changjiangtun,2004-09-23,122.3265197390036,54.3664194198141,14.3,16.474204587484845,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
14,changjiangtun,2004-10-09,136.2681733773358,74.4887786015836,18.5,25.911274903767936,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
15,changjiangtun,2004-10-25,207.159946583645,288.74699167677164,192.0,187.46731951653615,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
16,changjiangtun,2005-06-22,211.422226717208,309.8955785456679,554.0,208.06172166028705,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
17,changjiangtun,2005-08-09,200.49665428459275,255.3753451812841,920.0,156.13268948998487,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
18,changjiangtun,2005-11-13,202.4498773523705,266.8945560591017,299.0,166.96348328543922,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
19,changjiangtun,2006-05-24,179.080364960898,168.721572286311,33.5,84.36960688038373,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
20,changjiangtun,2006-08-12,198.598938072394,246.7243362580609,727.0,148.35505553549123,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
21,changjiangtun,2006-09-29,145.80445941382686,95.62045204634869,39.4,37.555288196869824,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
22,changjiangtun,2006-10-15,197.4303471719865,241.40244958761764,40.6,143.62404853927558,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
23,changjiangtun,2007-07-14,184.83369892557525,186.88949046546114,317.0,97.96125636631041,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
24,changjiangtun,2007-10-02,154.463182608946,107.55736175683177,24.6,43.96602798295675,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
25,changjiangtun,2008-04-11,201.1370579290333,258.8429567665429,82.4,159.34294549220212,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
26,changjiangtun,2008-05-13,194.17502623532124,226.7480758137157,370.0,130.83102738179588,0.07614256846068812,-0.30215066565321225,1.0617366294735289,0.501067395749231,-0.6384539425484228,0.5562034548688611
