stationid,COMID,distance,lon,lat
Brazil_14325000,62017832,0.001900000000009505,-67.5358,-0.3444
Brazil_14350000,62017799,0.0002666666666753248,-67.0092,-0.2461
Brazil_14428000,62013165,0.0018932629094983817,-63.9883,0.2275
Brazil_14430000,62017855,0.00106666666668076,-63.9606,0.13
Brazil_14440000,62008994,0.0002357022603739639,-62.6219,0.8842
Brazil_14450000,62017666,0.0019846634195638305,-62.7622,-0.3011
Brazil_14488000,62001124,0.002757716446607606,-63.1692,3.5497
Brazil_14495000,62001073,0.001900000000006674,-61.0367,3.4381
Brazil_14500000,62001070,0.0018999999999933517,-60.9097,3.4644
Brazil_14515000,62001061,0.0030858098162652664,-60.5711,3.2078
Brazil_14526000,62001147,0.0005666666666712672,-59.81110000000001,3.3811
Brazil_14530000,62000503,0.0011318617897553218,-60.7939,4.1961
Brazil_14540000,62000129,2.059883874476346e-15,-60.470600000000005,4.6306
Brazil_14550000,62000401,0.0008333333333387927,-60.52890000000001,4.1675
Brazil_14650000,62002023,0.0008666666666599099,-62.0172,2.7317
Brazil_14680001,62002009,0.0004478342947502313,-61.4406,2.8708
Brazil_14690000,62001925,0.0027999999999792635,-60.9178,2.4714
Brazil_14710000,62005313,0.002946278254928237,-61.1236,1.8214
Brazil_14750000,62005573,0.0006128258770443138,-62.2833,1.75
Brazil_14845000,62013348,0.0027999999999905882,-60.46609999999999,0.5178
Brazil_14850000,62022917,0.001399999999990631,-60.52,-0.8585999999999999
Brazil_15120001,62139285,0.0004006938426454842,-59.9581,-15.0092
Brazil_15124009,62131454,0.003535533905906913,-60.53,-13.5125
Brazil_15130000,62131029,0.001202081527992976,-61.05,-13.4858
Brazil_15150000,62126809,0.0027666666666466004,-62.8992,-12.8514
Brazil_15200000,62122198,0.003137054527924773,-64.4253,-12.4267
Brazil_15242000,62122190,0.0012020815280080488,-65.0064,-12.7994
Brazil_15246000,62113764,0.0030666666666832043,-64.9061,-11.2117
Brazil_15248010,62109695,0.0007999999999839247,-65.0433,-10.9175
Brazil_15320002,62098852,0.001532064692567701,-65.3667,-9.7053
Brazil_15323000,62104434,0.0001885618083013191,-67.1333,-10.2947
Brazil_15324000,62104447,0.0005333333333172874,-67.1831,-10.3378
Brazil_15325000,62103760,0.004506415180346658,-65.5667,-9.8333
Brazil_15326000,62098949,0.0008856886837121655,-65.5275,-9.7847
Brazil_15400000,62089098,0.0032188679859836314,-63.9169,-8.7483
Brazil_15550000,62094431,0.0006128258770212446,-63.71059999999999,-8.7986
Brazil_15552600,62117975,0.0019333333333140244,-60.8678,-11.7489
Brazil_15552700,62117968,2.357022606671159e-05,-61.1811,-11.6703
Brazil_15553500,62122640,0.00026666666668972994,-61.04639999999999,-12.4878
Brazil_15556010,62117996,0.0008249579113790834,-61.2394,-11.9011
Brazil_15558000,62117992,0.0006128258770273316,-61.1922,-11.6836
Brazil_15559000,62117967,1.4210854715202004e-14,-61.215,-11.6525
Brazil_15560000,62108811,0.001099494833509554,-61.93560000000001,-10.8736
Brazil_15565000,62108896,0.0010370899457156622,-62.4656,-10.4458
Brazil_15575000,62099689,0.0011333333333496398,-61.9347,-9.3472
Brazil_15630000,62079017,0.002714569742870343,-63.01830000000001,-7.5028
Brazil_15650000,62084450,0.004318049971427218,-62.0425,-7.957800000000001
Brazil_15670000,62068779,0.0016465452047136338,-61.7661,-6.3592
Brazil_15790000,62089166,0.0007778174593051479,-59.7717,-8.3747
Brazil_15795000,62084544,0.002946372534347035,-60.5761,-7.7394
Brazil_15820000,62099169,0.0019924858845413694,-60.69189999999999,-9.8169
Brazil_15828000,62084316,0.0013666666666516392,-60.70940000000001,-7.5928
Brazil_15830000,62079106,0.0016666666666438346,-60.65,-7.2078
Brazil_15910000,62074494,0.00021213203435411335,-59.0422,-6.7956
Brazil_15930000,62079365,0.004254409477254881,-59.6833,-7.1014
Brazil_16080000,62032875,0.00040069384266401125,-59.48329999999999,-1.9381
Brazil_16100000,62032858,0.0009663792676221555,-59.3442,-2.1061
Brazil_16200000,62032616,0.0006565905201354948,-58.5189,-1.6406
Brazil_16368000,62027574,0.0006000000000105921,-57.8269,-1.4381
