node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,file_name,index_right,stationid,COMID,date
43210800190074,43210800194,747626312.758,34.55799308,112.4722845,149.21097,0.11797,-999999999999.0,-999999999999.0,4194304,3,0,0.0,327.0,2,1,0,51356.15234,0.07627,214.72502404,SWOT_L2_HR_RiverSP_Node_003_256_AS_20230910T015635_20230910T020205_PGD0_01.zip,1,longmenzhen,43027970,2023-09-10
43210800200011,43210800201,747626312.788,34.55576437,112.4723006,149.45785,0.14813,156.249018,5.825768,0,0,0,0.0,284.0,1,1,0,51374.0,0.11766,154.71454696,SWOT_L2_HR_RiverSP_Node_003_256_AS_20230910T015635_20230910T020205_PGD0_01.zip,1,longmenzhen,43027970,2023-09-10
43210800200021,43210800201,747626312.816,34.55430504,112.4718123,149.34922,0.10648,134.147886,4.435199,0,0,0,0.0,189.0,1,1,0,51438.83594,0.05691,213.60212559,SWOT_L2_HR_RiverSP_Node_003_256_AS_20230910T015635_20230910T020205_PGD0_01.zip,1,longmenzhen,43027970,2023-09-10
43210800520024,43210800524,747626310.581,34.70972235,112.6058421,112.91748,0.09506,151.972686,5.693236,8388608,3,0,0.0097404371,75.0,1,1,0,35880.86719,0.03061,241.22064436,SWOT_L2_HR_RiverSP_Node_003_256_AS_20230910T015635_20230910T020205_PGD0_01.zip,0,baimasi,43030084,2023-09-10
43210800530011,43210800531,747626310.571,34.7100751,112.6034977,113.07192,0.09544,229.534942,9.814724,0,0,0,0.0,87.0,1,1,0,36079.58594,0.03176,154.11416728,SWOT_L2_HR_RiverSP_Node_003_256_AS_20230910T015635_20230910T020205_PGD0_01.zip,0,baimasi,43030084,2023-09-10
43210800530021,43210800531,747626310.56,34.71018496,112.6013603,113.06551,0.09518,197.519747,7.375058,0,0,0,0.0,155.0,1,1,0,36299.51953,0.03098,214.71661345,SWOT_L2_HR_RiverSP_Node_003_256_AS_20230910T015635_20230910T020205_PGD0_01.zip,0,baimasi,43030084,2023-09-10
43210800190074,43210800194,746768178.612,34.55783064,112.4723521,148.04122,0.1204,-999999999999.0,-999999999999.0,4194304,3,0,0.0,327.0,2,1,0,-59095.12891,0.07997,214.72502404,SWOT_L2_HR_RiverSP_Node_002_562_AS_20230831T033414_20230831T033953_PGD0_01.zip,1,longmenzhen,43027970,2023-08-31
43210800200011,43210800201,746768178.641,34.55612185,112.4719684,148.29279,0.12578,247.023522,6.448701,6,1,0,0.0,284.0,1,1,0,-58996.76953,0.08787,154.71454696,SWOT_L2_HR_RiverSP_Node_002_562_AS_20230831T033414_20230831T033953_PGD0_01.zip,1,longmenzhen,43027970,2023-08-31
43210800200021,43210800201,746768178.67,34.5542869,112.471666,148.24165,0.138,131.745153,4.120639,3,1,0,0.0,189.0,1,1,0,-58951.32031,0.10462,213.60212559,SWOT_L2_HR_RiverSP_Node_002_562_AS_20230831T033414_20230831T033953_PGD0_01.zip,1,longmenzhen,43027970,2023-08-31
43210800030571,43210800031,746729267.833,34.71963959,112.9303106,105.27839,1.69227,44.749078,1.029645,8390662,3,0,0.78038986892,108.0,1,1,0,51602.12109,1.68988,221.02968111,SWOT_L2_HR_RiverSP_Node_002_549_AS_20230830T164042_20230830T164956_PGD0_02.zip,5,heishiguan,43027816,2023-08-30
