ID,glow_lat,glow_lon,stationid,gage_lat,gage_lon,distance,COMID,COMID-mean
R71000743XS0017219,58.891666666742246,-96.27247587573157,Canada_06GD001,58.89128875732422,-96.27668762207033,13445815.580607811,71000743,411.9227869703035
R71001770XS0031961,58.145857480158455,-98.22580918711517,GRDC_4214106,58.1479,-98.2312,13525774.152531084,71001770,128.80551581043943
R71003592XS0062081,56.95000000061152,-95.74222732382697,Canada_06FC001,56.952919006347656,-95.73925018310548,13156122.399529561,71003592,276.1686053960814
R71005241XS0085762,56.433333333975156,-92.79529711006764,GRDC_4214025,56.4354,-92.7937,12830000.945534708,71005241,366.36915503394994
R71005241XS0085763,56.43202146826794,-92.79714520355974,GRDC_4214025,56.4354,-92.7937,12830000.945534708,71005241,366.36915503394994
R71008705XS0123646,55.373999498422776,-88.32516717162562,GRDC_4214440,55.3729,-88.3229,12305506.638987144,71008705,416.630449810062
R71008705XS0123647,55.37333333375942,-88.32651390453607,GRDC_4214440,55.3729,-88.3229,12305506.638987144,71008705,416.630449810062
R71009963XS0139076,55.026874542884116,-93.8343745390803,GRDC_4214350,55.0271,-93.83540000000002,12761723.558030408,71009963,236.51539382751483
R71009963XS0139077,55.02750000053128,-93.83687291367578,GRDC_4214350,55.0271,-93.83540000000002,12761723.558030408,71009963,236.51539382751483
R71011345XS0155949,54.77433841807201,-97.93232825176601,GRDC_4213710,54.77709999999999,-97.9312,13110631.884696031,71011345,222.5560632467438
R71011345XS0155950,54.77370598362022,-97.9329606878378,GRDC_4213710,54.77709999999999,-97.9312,13110631.884696031,71011345,222.5560632467438
R71011345XS0155951,54.77303326314926,-97.93333333321368,GRDC_4213710,54.77709999999999,-97.9312,13110631.884696031,71011345,222.5560632467438
R71011345XS0155952,54.77232923804403,-97.93350409844686,GRDC_4213710,54.77709999999999,-97.9312,13110631.884696031,71011345,222.5560632467438
R71011345XS0155953,54.77169681070587,-97.93413652330315,GRDC_4213710,54.77709999999999,-97.9312,13110631.884696031,71011345,222.5560632467438
R71011375XS0156898,54.81684548784367,-107.80916666640935,GRDC_4214300,54.8188,-107.8104,14042339.737566436,71011375,79.75445494166694
R71011418XS0157485,54.82583333371807,-102.63320140290502,Canada_05KG007,54.8277816772461,-102.63555908203124,13554156.623056807,71011418,113.10020565108601
R71012903XS0175423,54.52521624780288,-87.22666666678337,GRDC_4214450,54.52709999999999,-87.2271,12108841.27545846,71012903,203.96265111332212
R71012903XS0175424,54.52266292912563,-87.22599625945115,GRDC_4214450,54.52709999999999,-87.2271,12108841.27545846,71012903,203.96265111332212
R71016222XS0215802,53.84666666728542,-101.1789117516354,GRDC_4213550,53.8479,-101.1854,13317674.594376694,71016222,275.3948115811176
R71016222XS0215803,53.845833334008404,-101.18113708797569,GRDC_4213550,53.8479,-101.1854,13317674.594376694,71016222,275.3948115811176
R71017942XS0238401,53.51583333407846,-109.60789187566024,GRDC_4213300,53.51879999999999,-109.6104,14088950.725764556,71017942,263.09705078703234
R71017943XS0238402,53.520523589435655,-109.6155235843076,Canada_05EF001,53.52318954467773,-109.61788940429688,14089884.77312089,71017943,172.45571210780125
R71017956XS0238858,53.54000000023484,-113.48173708175021,GRDC_4213031,53.53960000000001,-113.4854,14465967.991973191,71017956,167.30169256639007
R71019815XS0262693,53.31728516081694,-114.7510481757314,Canada_05DE010,53.31547927856445,-114.7579574584961,14569703.288875775,71019815,150.15051911917953
R71019815XS0262694,53.316209251146184,-114.7529574196807,Canada_05DE010,53.31547927856445,-114.7579574584961,14569703.288875775,71019815,150.15051911917953
R71019878XS0263889,53.07047764895563,-85.01714431121887,GRDC_4214080,53.0729,-85.0187,11748529.726331938,71019878,434.3241375035879
R71023534XS0303879,52.376843344659285,-114.939823324721,Canada_05DC001,52.37670135498047,-114.94132232666016,14505874.376157176,71023534,94.15624517597749
R71023534XS0303880,52.37522765730881,-114.94060567924956,Canada_05DC001,52.37670135498047,-114.94132232666016,14505874.376157176,71023534,94.15624517597749
R71025453XS0328888,52.087595153665966,-87.07342848520791,GRDC_4214480,52.0896,-87.0771,11829846.328148808,71025453,165.59692515581736
R71025453XS0328889,52.0883333337942,-87.07567238116533,GRDC_4214480,52.0896,-87.0771,11829846.328148808,71025453,165.59692515581736
R71025481XS0329128,52.29451805596117,-88.74798194873975,GRDC_4214430,52.2938,-88.7562,12004509.649016779,71025481,107.07907287129885
R71025481XS0329129,52.294166667377944,-88.74882701359785,GRDC_4214430,52.2938,-88.7562,12004509.649016779,71025481,107.07907287129885
R71025481XS0329130,52.29416666669145,-88.74999293053637,GRDC_4214430,52.2938,-88.7562,12004509.649016779,71025481,107.07907287129885
R71029355XS0373577,51.33000000059507,-83.83272798997872,GRDC_4214520,51.3271,-83.8396,11456958.108207205,71029355,626.9732774408861
R71029355XS0373578,51.3291666671132,-83.83484799943325,GRDC_4214520,51.3271,-83.8396,11456958.108207205,71029355,626.9732774408861
R71031472XS0396967,51.07295035204683,-80.76538298624548,GRDC_4214560,51.0771,-80.7646,11153634.188040499,71031472,167.50423162176284
R71031472XS0396968,51.07144226628658,-80.76689107097525,GRDC_4214560,51.0771,-80.7646,11153634.188040499,71031472,167.50423162176284
R71031599XS0398146,51.04916666743808,-114.04953298664688,Canada_05BH004,51.050270080566406,-114.05146026611328,14307027.161692968,71031599,115.08137458935454
