COMID,q50
81000317,0.022231676
81000318,0.031259343
81000319,0.0050778063
81000320,0.013062049
81000321,0.01563947
81000322,0.0074487017
81000323,0.03159583
81000324,0.019120993
81000325,0.009950404
81000326,0.014898276
81000327,0.00024041778
81000328,0.0066534844
81000329,0.003371913
81000330,0.014341481
81000331,0.0051346216
81000332,0.0036280013
81000333,0.0056715216
81000334,0.004394318
81000335,0.001661554
81000336,0.0061065573
81000337,0.012690193
81000338,0.005683131
81000339,0.018608658
81000340,0.01956784
81000341,0.005045985
81000342,0.003244861
81000343,0.0005496986
81000344,0.009511471
81000345,0.0002620769
81000346,0.007575019
81000347,0.00287445
81000348,0.004443842
81000349,0.02216417
81000350,0.022239078
81000351,0.013551327
81000352,0.02252678
81000353,0.024970163
81000354,0.007483137
81000355,0.008103305
81000356,0.0058803074
81000357,0.002706837
81000358,0.0030705212
81000359,0.0017488647
81000360,0.017805632
81000361,0.010236945
81000362,0.0015513214
81000363,0.0037727444
81000364,0.007025848
81000365,0.0063589355
81000366,0.0042926217
81000367,0.0013042307
81000368,0.003627895
81000369,0.00058574975
81000370,0.002779002
81000371,0.004107405
81000372,0.0036292092
81000373,0.002001568
81000374,0.0023189285
81000375,0.022106765
81000376,0.0010634299
81000377,0.0054410803
81000378,0.0065493523
81000379,0.015681872
81000380,0.003926848
81000381,0.00023018481
81000382,0.0076581724
81000383,0.00045932713
81000384,7.4397845e-05
81000385,0.0066655553
81000386,0.00012933326
81000387,3.3297394e-05
81000388,16.244984
81000389,152.91263
81000390,152.56796
81000391,152.7319
81000392,152.5016
81000393,140.29836
81000394,140.19148
81000395,140.34813
81000396,140.14117
81000397,139.50798
81000398,136.87741
81000399,9.110515
81000400,8.973156
81000401,8.891324
81000402,7.4330454
81000403,7.315354
81000404,7.239504
81000405,6.836734
81000406,6.808178
81000407,6.7246847
81000408,6.457441
81000409,6.150943
81000410,3.2914493
81000411,2.8873153
81000412,2.7162826
81000413,2.5647366
81000414,2.446495
81000415,1.8396678
81000416,0.72922295
81000417,0.6208502
81000418,0.4638754
81000419,0.43128854
81000420,0.3965389
81000421,0.37561426
81000422,0.35416335
81000423,7.0877724
81000424,6.7937956
81000425,6.735841
81000426,6.7229795
81000427,6.612977
81000428,6.2460003
81000429,6.143298
81000430,6.0456753
81000431,5.8326397
81000432,0.0835049
81000433,33.16525
81000434,32.70349
81000435,32.40969
81000436,31.845072
81000437,31.609634
81000438,6.845916
81000439,0.8790008
81000440,2.2752461
81000441,1.9386239
81000442,1.8845563
81000443,0.8330885
81000444,1.8526642
81000445,1.7652218
81000446,1.7210466
81000447,0.65068424
81000448,0.61897326
81000449,0.5792751
81000450,0.49946237
81000451,4.7696004
81000452,4.7092805
81000453,0.5167041
81000454,4.6622076
81000455,4.5684547
81000456,0.0073711895
81000457,0.43114078
81000458,2.458991
81000459,0.3475091
81000460,0.0033123717
81000461,0.022878408
