stationid,width,wse,wse_max,wse_min,area
Brazil_12390000,34.4536621885787,181.6211207131408,181.6211207131408,181.6211207131408,277.42472216417366
Brazil_12390000,35.85346712628393,181.62112074514766,181.62112074514766,181.62112074514766,277.4247232893286
Brazil_12390000,37.25327206398917,181.62112077091928,181.62112077091928,181.62112077091928,277.42472423136786
Brazil_12390000,38.653077001694406,181.62112079184027,181.62112079184027,181.62112079184027,277.42472502538595
Brazil_12390000,40.05288193939964,181.62112080895253,181.62112080895253,181.62112080895253,277.42472569880425
Brazil_12390000,41.452686877104874,181.6211208230483,181.6211208230483,181.6211208230483,277.42472627324634
Brazil_12390000,42.85249181481011,181.62112083473568,181.62112083473568,181.62112083473568,277.4247267658995
Brazil_12390000,44.25229675251535,181.62112084448574,181.62112084448574,181.62112084448574,277.42472719053825
Brazil_12390000,45.65210169022058,181.62112085266648,181.62112085266648,181.62112085266648,277.42472755828027
Brazil_12390000,47.05190662792582,181.62112085956753,181.62112085956753,181.62112085956753,277.4247278781576
Brazil_12390000,48.45171156563106,181.62112086541862,181.62112086541862,181.62112086541862,277.42472815755787
Brazil_12390000,49.85151650333629,181.62112087040327,181.62112087040327,181.62112087040327,277.42472840256175
Brazil_12390000,51.251321441041526,181.62112087466895,181.62112087466895,181.62112087466895,277.42472861819755
Brazil_12390000,52.65112637874676,181.62112087833492,181.62112087833492,181.62112087833492,277.4247288086494
Brazil_12390000,54.050931316451994,181.62112088149826,181.62112088149826,181.62112088149826,277.42472897741663
Brazil_12390000,55.450736254157235,181.62112088423828,181.62112088423828,181.62112088423828,277.42472912743517
Brazil_12390000,56.85054119186247,181.6211208866203,181.6211208866203,181.6211208866203,277.42472926118734
Brazil_12390000,58.2503461295677,181.62112088869824,181.62112088869824,181.62112088869824,277.42472938077367
Brazil_12390000,59.650151067272944,181.6211208905169,181.6211208905169,181.6211208905169,277.4247294879834
Brazil_12390000,61.04995600497818,181.6211208921136,181.6211208921136,181.6211208921136,277.42472958434456
Brazil_12390000,62.44976094268341,181.62112089351962,181.62112089351962,181.62112089351962,277.42472967116623
Brazil_12390000,63.849565880388646,181.62112089476128,181.62112089476128,181.62112089476128,277.4247297495766
Brazil_12390000,65.24937081809388,181.62112089586077,181.62112089586077,181.62112089586077,277.42472982054835
Brazil_12390000,66.64917575579912,181.62112089683694,181.62112089683694,181.62112089683694,277.4247298849262
Brazil_12390000,68.04898069350435,181.62112089770577,181.62112089770577,181.62112089770577,277.42472994344064
Brazil_12390000,69.44878563120959,181.62112089848094,181.62112089848094,181.62112089848094,277.424729996733
Brazil_12390000,70.84859056891483,181.62112089917412,181.62112089917412,181.62112089917412,277.42473004535844
Brazil_12390000,72.24839550662006,181.62112089979536,181.62112089979536,181.62112089979536,277.4247300898073
Brazil_12390000,73.6482004443253,181.6211209003533,181.6211209003533,181.6211209003533,277.4247301305086
Brazil_12390000,75.04800538203054,181.62112090085543,181.62112090085543,181.62112090085543,277.4247301678407
Brazil_12390000,76.44781031973577,181.62112090130822,181.62112090130822,181.62112090130822,277.42473020213833
Brazil_12390000,77.847615257441,181.62112090171726,181.62112090171726,181.62112090171726,277.42473023369524
Brazil_12390000,79.24742019514625,181.6211209020875,181.6211209020875,181.6211209020875,277.4247302627774
Brazil_12390000,80.64722513285147,181.6211209024232,181.6211209024232,181.6211209024232,277.42473028961484
Brazil_12390000,82.0470300705567,181.6211209027281,181.6211209027281,181.6211209027281,277.42473031441824
Brazil_12390000,83.44683500826196,181.62112090300548,181.62112090300548,181.62112090300548,277.42473033736957
Brazil_12390000,84.84663994596718,181.6211209032582,181.6211209032582,181.6211209032582,277.4247303586356
Brazil_12390000,86.24644488367241,181.62112090348882,181.62112090348882,181.62112090348882,277.4247303783638
Brazil_12390000,87.64624982137767,181.6211209036996,181.6211209036996,181.6211209036996,277.42473039668994
Brazil_12390000,89.04605475908289,181.62112090389252,181.62112090389252,181.62112090389252,277.42473041373427
Brazil_12390000,90.44585969678812,181.62112090406933,181.62112090406933,181.62112090406933,277.4247304296024
Brazil_12390000,91.84566463449336,181.6211209042316,181.6211209042316,181.6211209042316,277.4247304443917
Brazil_12390000,93.2454695721986,181.62112090438072,181.62112090438072,181.62112090438072,277.42473045819287
Brazil_12390000,94.64527450990383,181.62112090451794,181.62112090451794,181.62112090451794,277.42473047108405
Brazil_12390000,96.04507944760907,181.62112090464433,181.62112090464433,181.62112090464433,277.42473048313485
Brazil_12390000,97.44488438531431,181.62112090476091,181.62112090476091,181.62112090476091,277.42473049441395
Brazil_12390000,98.84468932301954,181.62112090486858,181.62112090486858,181.62112090486858,277.42473050498035
Brazil_12390000,100.24449426072476,181.6211209049681,181.6211209049681,181.6211209049681,277.4247305148883
Brazil_12390000,101.64429919843002,181.62112090506022,181.62112090506022,181.62112090506022,277.42473052418677
Brazil_12390000,103.04410413613525,181.62112090514557,181.62112090514557,181.62112090514557,277.4247305329219
Brazil_12390000,104.44390907384047,181.62112090522473,181.62112090522473,181.62112090522473,277.4247305411337
Brazil_12390000,105.84371401154573,181.6211209052982,181.6211209052982,181.6211209052982,277.42473054885863
Brazil_12390000,107.24351894925096,181.6211209053665,181.6211209053665,181.6211209053665,277.4247305561353
Brazil_12390000,108.64332388695618,181.62112090543002,181.62112090543002,181.62112090543002,277.4247305629921
Brazil_12390000,110.04312882466144,181.62112090548916,181.62112090548916,181.62112090548916,277.4247305694593
Brazil_12390000,111.44293376236666,181.62112090554427,181.62112090554427,181.62112090554427,277.4247305755623
