stationid,coverage_95,coverage_50,kge,nse,nrmse,kge_median,nse_median,ci_width_95,ci_width_50,relative_ci_width_95,mean_qobs
Australia_204007,0.0,0.0,-206.8437232653559,-12378.872673092093,234.48936142168083,-207.7126465158308,-12755.63943896794,158.70073032167002,103.33763656026422,597.5887245554993,0.2655684818011173
Brazil_10910000,0.5357142857142857,0.17857142857142858,0.6110305480291371,0.7168150744846784,0.3990368206013526,0.6323451736146477,0.7222751390385047,718.8935328671984,383.74739266285206,0.6967674751519606,1031.7552964285715
Brazil_12370000,0.989010989010989,0.9340659340659341,0.4078661953273308,0.20770395896326743,1.4475993229108015,0.41149758635297196,0.20973870478566825,727.0418165359725,366.4932171755336,7.20202590705408,100.94962527472528
Brazil_12390000,0.631578947368421,0.34210526315789475,-0.03253262552353142,0.0858574274036592,1.299655000251814,-0.03849532113582366,0.08331588114406052,100.0592370813799,56.41804683210675,0.6695728664391286,149.43741315789472
Brazil_12520000,0.37662337662337664,0.24675324675324675,0.2283981029480624,0.2756377837511981,0.8456613636089327,0.2712947196631095,0.31975383634202437,1226.804402741903,758.1233307426146,2.1108021509666663,581.2029337662337
Brazil_12550000,0.3333333333333333,0.1111111111111111,0.10645984136066877,-0.2715053125375426,0.8935813322253559,0.09996988615513636,-0.3379849020595367,1512.230419974248,853.252367052618,1.9760350689540922,765.2852136752136
Brazil_12560000,0.8947368421052632,0.7368421052631579,-0.18559532804383205,-0.28424366517632205,1.1593264105314849,-0.1486651544689186,-0.25237713985801347,139.0608757633053,81.8228058731872,1.7776722926251904,78.22638421052632
Brazil_12650000,0.8904109589041096,0.8493150684931506,0.5633377853982833,0.5448843249211841,0.6429703558324907,0.5652644721289701,0.5339518641894043,282.0012180903157,157.36802146409264,2.7349830926393928,103.10894383561644
Brazil_12700000,0.968944099378882,0.5341614906832298,0.5753024233578237,0.691270036011516,0.5875541993929626,0.5994340795700803,0.6972884134253912,4450.206257286292,2429.897325228799,2.2563343927594666,1972.31681242236
Brazil_13180000,0.2328767123287671,0.1780821917808219,0.10950514465088323,0.04451259005029695,0.8250742320769854,0.077815177245384,0.010483330865212581,228.21609889121842,159.21940568576815,1.2893675973742382,176.99847534246575
Brazil_13410000,0.41964285714285715,0.16071428571428573,0.12792586346829526,0.22054545013873839,1.454654717233731,0.1330331113623051,0.2267724631290935,522.5996405516119,300.1076819447553,1.291938188027866,404.50823839285715
Brazil_13710001,0.38461538461538464,0.18803418803418803,0.15746833168572605,0.25251643287988124,1.4274766967801436,0.15288183377500197,0.24670458805630047,891.6054559514961,472.09708622635526,1.1451360176917549,778.602229059829
Brazil_13740000,0.6125,0.325,0.2798734213403409,0.37014947488803096,0.8833537738267749,0.3037821977830285,0.388693562900854,795.4666229035923,464.3574616541553,1.8750620166479728,424.23483374999995
Brazil_13750000,0.44692737430167595,0.1340782122905028,0.2259058966351225,0.3440081271515637,0.9037908344546948,0.2282656670030886,0.34257573240945893,1214.2106527371511,653.5433597762022,0.7804443438199468,1555.7940324022345
Brazil_14260000,0.5,0.2857142857142857,-0.055978340050661046,-0.10854402966649257,0.7391273466197367,-0.05939104907606363,-0.11581301866976124,1332.8083271103828,691.5761490810536,0.7632496392038908,1746.2285714285715
Brazil_14450000,0.5238095238095238,0.3333333333333333,0.23126770188485724,0.26027100659449387,0.7632923385112848,0.2306443326632257,0.2621164690500456,343.14066048442356,188.6250440737936,0.8102768261337757,423.4857142857143
Brazil_14488000,0.6176470588235294,0.4411764705882353,-0.344795401614723,-3.665343295255412,0.8976658722767991,-0.3350323772409012,-3.9542828266301377,911.087559763927,645.3201545491065,2.536726094630715,359.15882352941173
Brazil_14550000,0.4358974358974359,0.28205128205128205,-0.17054931866661338,-0.0470652233412181,1.4695168029338095,-0.16533099083860847,-0.03753346782599554,61.52749775396243,30.920897130512657,0.6833035585058017,90.04416410256411
Brazil_14650000,0.9473684210526315,0.7894736842105263,0.22092064756516194,0.10317118505587008,0.5339058943472579,0.20746390866623188,0.07878315802372038,337.0135729985759,228.21207261206627,2.0772937184016036,162.23684210526315
Brazil_15130000,0.8403361344537815,0.680672268907563,-0.600244423579388,-0.6817382668842824,0.7308210898379272,-0.4361602766256212,-0.7213282457945147,566.7321707187076,482.30098617528597,1.5827988243504572,358.05698235294113
Brazil_15326000,0.6285714285714286,0.42857142857142855,0.061095957549346824,0.14158474851550062,1.2053064749007212,0.056988847156499656,0.13711997010660748,193.9382890815713,102.97355816132306,0.4345434772609092,446.30353285714284
Brazil_15790000,0.2,0.13333333333333333,0.02509208921166939,0.12300139082856154,1.36779636695033,0.038432235444648355,0.1273109224586405,233.8803245255663,126.7681153513523,0.5349422649675202,437.2066666666667
Brazil_15828000,0.5,0.2608695652173913,-0.10729331009474219,-0.15586864079968654,1.0823561810267261,-0.11264631803172231,-0.14629739939400643,459.8680504598735,236.00918083198422,0.7814797222523913,588.4580717391304
Brazil_15830000,0.5641025641025641,0.46153846153846156,0.14829023322031643,0.21084335650473418,0.8519484170334808,0.19263087866391748,0.27800420425924555,2275.3052383349855,1477.9416566286475,1.1647755512956208,1953.4280538461537
Brazil_16370000,0.9090909090909091,0.6363636363636364,0.0328894063741384,-0.005669650786061409,0.8701290045595026,0.019212583108563885,-0.032359178525508625,830.9059561218485,502.11221737507117,1.6122249157036617,515.3784363636364
Brazil_16460000,0.4444444444444444,0.3333333333333333,0.14035679702352422,0.223239183741046,0.9104932048724612,0.14205586227870548,0.22480250529958734,1212.6383854207133,638.1025363249225,0.7109205897959093,1705.7297296296297
