source,kge_median,kge_mean,kge_count,kge_>0(%),nrmse_median,nrmse_mean,nrmse_count,nrmse_<0.6(%),nse_median,nse_mean,nse_count,nse_>0(%)
datemean_5_qastrict_VersionC_w5,-0.0957,-2.0304,323,39.01,0.9227,2.7741,323,15.17,-0.1055,-97.5669,323,35.6
q50_node_3_qaloose_VersionC,0.0654,-0.8154,431,56.61,0.8236,1.7771,431,19.95,-0.082,-45.0806,431,41.3
datemean_10_qaloose_VersionC_w7,-0.2035,-1.5698,410,33.17,0.9991,2.4372,410,12.2,-0.1549,-48.3067,410,28.05
q50_node_3_qastrict_VersionD,0.0719,-0.927,219,59.82,0.8243,1.9691,219,25.11,-0.12,-49.6582,219,39.27
q50_node_5_qastrict_VersionC,-0.0003,-0.2629,71,49.3,0.8838,1.1627,71,22.54,-0.2152,-5.2303,71,28.17
q50_node_10_noqa_VersionC,0.0181,-0.4087,365,52.05,0.8422,1.3188,365,19.18,-0.2107,-47.6157,365,34.25
datemean_10_qastrict_VersionD_w7,-0.0795,-1.4302,374,41.98,0.9598,2.3443,374,16.84,-0.0942,-39.4328,374,36.36
q50_node_0_noqa_VersionD,0.0338,-0.9974,728,53.85,0.8558,1.9192,728,18.82,-0.0847,-30.1969,728,40.93
datemean_10_qastrict_VersionC_w3,-0.1634,-1.9758,299,32.78,0.9137,2.812,299,15.38,-0.1504,-66.0885,299,30.77
q50_node_10_noqa_VersionD,0.0436,-0.9726,320,53.12,0.8355,1.9604,320,20.94,-0.1806,-91.3497,320,34.69
datemean_10_qaloose_VersionD_w7,-0.0899,-0.8245,387,43.15,0.9506,1.5088,387,16.54,-0.1165,-54.3969,387,32.82
datemean_3_qastrict_VersionD_w7,0.0212,-1.522,448,51.12,0.9243,2.5057,448,16.74,-0.0474,-43.7401,448,42.41
q50_node_5_noqa_VersionC,0.0842,-1.4209,469,57.78,0.8224,2.4018,469,18.34,-0.1207,-56.8723,469,40.51
datemean_3_qastrict_VersionC_w7,-0.0265,-2.3162,348,46.26,0.8879,3.2452,348,17.53,-0.0543,-91.3753,348,41.09
datemean_5_qaloose_VersionC_w7,-0.108,-1.3776,459,40.96,0.9643,2.2969,459,14.81,-0.146,-43.4609,459,33.77
datemean_10_qastrict_VersionD_w3,-0.0345,-1.4473,363,45.73,0.9655,2.4213,363,15.98,-0.0839,-38.3436,363,38.84
q50_node_10_qaloose_VersionD,0.0304,-1.3575,238,54.2,0.8622,2.4089,238,19.75,-0.2269,-139.1687,238,33.19
datemean_3_qaloose_VersionC_w3,-0.0838,-1.8027,533,39.96,0.9579,2.5642,533,15.57,-0.1394,-145.6521,533,31.14
datemean_10_qastrict_VersionD_w5,-0.0671,-1.4066,375,44.0,0.9796,2.3376,375,16.53,-0.0828,-36.6715,375,37.07
datemean_3_qastrict_VersionD_w3,0.0369,-1.5902,447,55.03,0.9051,2.5965,447,14.77,-0.0731,-43.0584,447,41.83
datemean_0_qastrict_VersionC_w7,-0.0243,-1.6375,463,45.36,0.8464,2.5643,463,18.14,-0.0517,-60.8624,463,44.28
q50_node_0_noqa_VersionC,0.0258,-0.9434,764,53.66,0.8795,1.895,764,17.41,-0.0609,-29.5674,764,43.19
q50_node_5_noqa_VersionD,0.0942,-0.5597,413,61.02,0.8315,1.5476,413,23.49,-0.0772,-30.961,413,39.95
datemean_0_qaloose_VersionD_w3,-0.0046,-1.1088,677,49.34,0.8908,2.3717,677,17.87,-0.0987,-47.4616,677,39.88
datemean_0_qastrict_VersionD_w7,0.0024,-1.1506,604,50.66,0.8671,2.1056,604,16.06,-0.053,-33.3819,604,45.03
q50_node_5_qastrict_VersionD,0.066,-1.1684,188,60.64,0.8338,2.2236,188,23.4,-0.1297,-62.1941,188,35.64
datemean_3_qastrict_VersionC_w3,-0.0012,-2.0368,336,49.7,0.8831,3.0049,336,16.67,-0.0485,-70.7828,336,43.15
