stationid,date,width,area_hypso,qobs,Q_est,kge,nse,nrmse
Australia_116006,1987-07-19,66.889059614868,77.12067440210005,0.28684792,49.486318675948084,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1989-07-24,56.9012237735361,55.442157076470565,0.31956953,31.799696144449214,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1990-06-25,72.2928350205545,90.31173782390164,0.5239334,61.13369855091468,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1991-03-08,75.6648774392693,99.06519881619258,1.9025446,69.18991764663004,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1991-04-25,56.0372140128225,53.73146826210167,0.39015335,30.490695671774958,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1991-06-12,56.0372140128225,53.73146826210167,0.33396256,30.490695671774958,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1991-06-28,56.0372140128225,53.73146826210167,0.19241154,30.490695671774958,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1991-07-14,56.0372140128225,53.73146826210167,0.1589525,30.490695671774958,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1992-03-26,40.403199162418,27.28910486186982,0.08565681,12.2595771382281,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1993-02-25,56.0372140128225,53.73146826210167,0.6580969,30.490695671774958,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1993-03-13,51.478136817761055,45.137201679005656,0.20578662,24.131242380237893,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1993-03-29,40.403199162418,27.28910486186982,0.08139661,12.2595771382281,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1994-04-01,56.0372140128225,53.73146826210167,0.19419497,30.490695671774958,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1994-05-19,49.0478897267593,40.8541804020152,0.23830117,21.106576486499804,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1996-02-02,54.39141176165416,50.54491866580045,0.24748017,28.08963692367394,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1996-03-21,78.9671024600825,108.02658602293789,0.5828027,77.68862949404603,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1996-06-25,49.0478897267593,40.8541804020152,0.177575,21.106576486499804,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1997-05-11,40.403199162418,27.28910486186982,0.31768325,12.2595771382281,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1998-03-27,56.0372140128225,53.73146826210167,0.43241066,30.490695671774958,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1998-06-15,53.99078467489071,49.78351545113779,0.28689602,27.52326924229485,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1998-07-01,56.0372140128225,53.73146826210167,0.21223903,30.490695671774958,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1998-08-18,40.403199162418,27.28910486186982,0.11892615,12.2595771382281,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1998-11-22,73.6733634104864,93.84723985795793,0.29469368,64.35752764866805,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1999-05-01,76.1870677589828,100.45656506243816,0.9820736,70.49314348537247,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1999-07-20,40.403199162418,27.28910486186982,0.14098994,12.2595771382281,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,1999-11-09,56.0372140128225,53.73146826210167,0.305608,30.490695671774958,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2000-01-21,77.9650537615779,105.26662148909031,0.24498871,75.04498279029524,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2000-05-12,73.6427084794072,93.76785693213888,0.684119,64.28465612815818,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2000-05-28,82.5230744652725,118.10629258494471,0.44337842,87.53370381011409,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2000-06-29,66.889059614868,77.12067440210005,0.37128103,49.486318675948084,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2000-07-15,66.889059614868,77.12067440210005,0.21906015,49.486318675948084,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2000-09-01,40.403199162418,27.28910486186982,0.15018097,12.2595771382281,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2000-11-20,56.0372140128225,53.73146826210167,0.15800133,30.490695671774958,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2001-04-13,62.9124261103118,68.06917602468319,0.5098637,41.86621603893075,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2001-05-15,49.0478897267593,40.8541804020152,0.22277263,21.106576486499804,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2001-07-02,49.0478897267593,40.8541804020152,0.17516637,21.106576486499804,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2002-01-26,67.11498751341325,77.65154197134231,0.07382204,49.94296337165669,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2002-02-11,67.63434198787915,78.87831474450967,0.1416098,51.002136486529935,-118.64959738756474,-18163.334692120832,115.03531783980185
Australia_116006,2002-05-18,49.0478897267593,40.8541804020152,0.1717331,21.106576486499804,-118.64959738756474,-18163.334692120832,115.03531783980185
