stationid,w50,Q1,Q3,IQR,w_low_iqr1.0,w_high_iqr1.0,w_low_iqr1.5,w_high_iqr1.5,w_low_iqr2.0,w_high_iqr2.0,w_low_iqr2.5,w_high_iqr2.5,w_low_iqr3.0,w_high_iqr3.0,w_low_iqr4.0,w_high_iqr4.0,w_low,w_high
Australia_116006,56.0372140128225,49.65545149950974,71.9019846492944,22.246533149784668,30.0,94.14851779907907,30.0,105.2717843739714,30.0,116.39505094886374,30.0,127.51831752375608,30.0,138.64158409864842,30.0,160.88811724843308,30.0,105.2717843739714
Australia_204007,91.35278860621132,80.79750541831196,101.15488488690416,20.3573794685922,60.44012594971976,121.51226435549636,50.26143621542366,131.69095408979246,40.08274648112756,141.86964382408854,30.0,152.04833355838466,30.0,162.22702329268077,30.0,182.58440276127294,50.26143621542366,131.69095408979246
Australia_802055,111.2593428017255,79.7366917133233,126.059182778953,46.322491065629706,33.41420064769359,172.3816738445827,30.0,195.54291937739754,30.0,218.7041649102124,30.0,241.86541044302726,30.0,265.0266559758421,30.0,311.34914704147184,30.0,195.54291937739754
Australia_818035,49.80876599557735,45.73632339540878,54.26147131014087,8.525147914732088,37.211175480676694,62.78661922487296,32.94860152331065,67.04919318223901,30.0,71.31176713960505,30.0,75.5743410969711,30.0,79.83691505433714,30.0,88.36206296906923,32.94860152331065,67.04919318223901
Brazil_10200000,67.82346340229434,51.745850292683066,76.32149678267477,24.575646489991705,30.0,100.89714327266648,30.0,113.18496651766233,30.0,125.47278976265818,30.0,137.76061300765403,30.0,150.04843625264988,30.0,174.62408274264158,30.0,113.18496651766233
Brazil_10300000,127.84800318414368,110.19006178458184,137.38871540333568,27.198653618753838,82.991408165828,164.58736902208952,69.39208135645109,178.18669583146644,55.79275454707417,191.78602264084336,42.19342773769725,205.38534945022028,30.0,218.9846762595972,30.0,246.18332987835103,69.39208135645109,178.18669583146644
Brazil_10500000,219.29512015420835,196.1914114227674,244.98214182729203,48.79073040452462,147.40068101824278,293.7728722318167,123.00531581598047,318.16823743407895,98.60995061371815,342.5636026363413,74.21458541145584,366.9589678386036,49.81922020919353,391.35433304086587,30.0,440.1450634453905,123.00531581598047,318.16823743407895
Brazil_10800000,108.94518548068116,87.02301645780611,125.78844083555724,38.76542437775113,48.25759208005498,164.55386521330837,30.0,183.93657740218393,30.0,203.3192895910595,30.0,222.70200177993507,30.0,242.08471396881063,30.0,280.8501383465618,30.0,183.93657740218393
Brazil_10910000,178.79721894517635,132.983812379844,255.20989701909696,122.22608463925295,30.0,377.4359816583499,30.0,438.5490239779764,30.0,499.66206629760285,30.0,560.7751086172293,30.0,621.8881509368558,30.0,744.1142355761087,30.0,438.5490239779764
Brazil_11450000,781.6937182695611,776.9106269358931,785.173386378492,8.262759442598849,768.6478674932943,793.4361458210908,764.5164877719949,797.5675255423903,760.3851080506954,801.6989052636897,756.2537283293959,805.830284984989,752.1223486080966,809.9616647062885,743.8595891654977,818.2244241488874,764.5164877719949,797.5675255423903
