node_id,reach_id,time,lat,lon,wse,wse_u,width,width_u,node_q_b,node_q,ice_clim_f,dark_frac,p_width,p_n_ch_max,p_n_ch_mod,xovr_cal_q,xtrk_dist,wse_r_u,p_length,geometry,index_right,stationid,COMID
22799300030241,22799300031,747391452.799,48.87941749,12.7461056,311.51093,0.10156,184.795473,4.90089,0,0,0,0.09216510878,169.0,1,1,0,-44445.55469,0.04706,187.89362594,POINT (12.7461056 48.87941749),1283,GRDC_6342920,22017138
66210800010251,66210800011,747417687.767,-38.77969158,-72.9485654,19.08835,0.10617,138.91154,6.339485,0,0,0,0.15633491177,97.0,1,1,0,-30999.25781,0.05632,213.56494795,POINT (-72.94856540000001 -38.77969158),641,Chile_09140001,66015557
73270200030511,73270200031,747416468.187,30.44851358,-85.8990357,1.87569,0.09385,225.21382,8.8786,0,0,0,0.17535239832,184.0,1,1,0,17769.42383,0.0266,201.68669051,POINT (-85.8990357 30.44851358),1553,USGS_02366500,73020305
73285000110391,73285000111,747416437.508,32.41175857,-86.4023189,37.68353,0.09676,175.162888,9.073411,0,0,0,0.0,184.0,1,1,0,22376.06055,0.03553,212.37649734,POINT (-86.4023189 32.41175857),1563,USGS_02420000,73016469
74287200370221,74287200371,747416258.52,42.12268504,-89.253367,203.90216,0.09778,176.98636,6.359681,0,0,0,0.17128272679,156.0,1,1,0,31762.52734,0.03821,201.08063656,POINT (-89.253367 42.12268504),1710,USGS_05440700,74024532
74287200370231,74287200371,747416258.519,42.12323902,-89.2508333,203.91378,0.09626,180.747819,5.86999,0,0,0,0.27293527304,189.0,1,1,0,31584.92188,0.03416,190.43239288,POINT (-89.2508333 42.12323902),1710,USGS_05440700,74024532
22791500210211,22791500211,747439458.666,47.77365824,18.9543307,100.72118,0.09194,661.475441,14.341495,0,0,0,0.13822002213,450.0,1,1,0,-17452.61133,0.01877,196.10144355,POINT (18.9543307 47.77365824),1299,GRDC_6442500,22024928
73112000370231,73112000371,773041529.0,45.7270902,-68.5884604,90.23815,0.10931,116.703441,3.791143,0,0,0,0.14313810068,92.0,1,1,0,42400.14453,0.06203,219.07905201,POINT (-68.5884604 45.7270902),1387,USGS_01029500,73000148
73114000370071,73114000371,773041508.983,44.77626666,-69.8864313,49.11525,0.09606,128.543389,6.048091,0,0,0,0.0,128.0,1,1,0,-28796.01367,0.03358,216.99844792,POINT (-69.8864313 44.77626666),1395,USGS_01047150,73000848
23216000570891,23216000571,773061542.715,44.9184568,1.7419298,118.07929,0.09593,168.651707,7.786069,0,0,0,0.14536552381,127.0,1,1,0,-26334.47266,0.03321,200.68370346,POINT (1.7419298 44.9184568),672,EWA_9114213,23023069
