stationid,w5_low,w95_high,w10_low,w90_high,w15_low,w85_high,w50,w_low,w_high
USGS_05488110,82.8147019779318,150.636578366131,94.6791033304366,150.636578366131,109.199713940965,150.636578366131,136.352075245205,94.6791033304366,150.636578366131
USGS_05488500,89.956896171837,138.5526012029655,98.3307348517115,138.5526012029655,99.44555042587253,138.5526012029655,119.80080024990347,98.3307348517115,138.5526012029655
USGS_05489500,136.3833766705416,184.44974290599038,155.88275436759352,179.483718651659,155.88275436759352,178.430875154891,170.012878300207,155.88275436759352,179.483718651659
USGS_05490500,152.2947106532516,180.89816246413935,153.35847995679032,180.2803115161858,158.6185630143722,177.07388853448597,165.28105673280498,153.35847995679032,180.2803115161858
USGS_05527500,154.03101169204,239.803732377249,166.027196403258,239.803732377249,177.183648184691,239.803732377249,193.798364009728,166.027196403258,239.803732377249
USGS_05550000,140.27648488496945,196.363070415262,148.60873780861067,196.21868580466239,151.310625153272,181.35308693836038,177.4727505285,148.60873780861067,196.21868580466239
USGS_05551540,36.10609967663715,69.1983360383156,36.94924737423194,62.97001062643998,37.31059638748685,60.52833952990788,44.9900123498127,36.94924737423194,62.97001062643998
USGS_05568500,158.77285691328092,321.0442346231135,171.99166513810061,294.2445749514015,178.75569614277256,271.76255221271447,198.61324249554295,171.99166513810061,294.2445749514015
USGS_05595000,84.45288953127529,179.59492452947092,92.52476807117027,159.3224426059309,95.56566282524571,148.47402338066732,119.67630151329034,92.52476807117027,159.3224426059309
USGS_06054500,60.8229895464488,96.64136794857734,64.07915334011625,92.85237735230974,64.07915334011625,89.09298824507545,66.56567841891689,64.07915334011625,92.85237735230974
USGS_06065500,259.06848852538576,298.7635944093165,274.38478975415853,298.7635944093165,277.528987807981,295.7083830928665,285.0928604846295,274.38478975415853,298.7635944093165
USGS_06066500,61.26018104457853,123.93155493115086,64.5295516501099,113.8718755259515,66.29513923820618,105.72782933609763,84.76311548875165,64.5295516501099,113.8718755259515
USGS_06101500,36.3216845644195,77.44935974606963,39.71450457228868,69.59971702494855,43.65771318798169,65.48252647930407,51.045950713066624,39.71450457228868,69.59971702494855
USGS_06214500,96.2243880835057,173.556704036762,96.2243880835057,143.96644935495715,96.2243880835057,142.58072813359414,113.19595805553884,96.2243880835057,143.96644935495715
USGS_06259000,30.3674843477311,59.7371704572377,30.3674843477311,58.23044657330145,30.3674843477311,49.943465211652004,38.3433800421741,30.3674843477311,58.23044657330145
USGS_06274300,36.90287101024154,61.7460541951741,39.94757851881275,59.27637304602355,41.7283647642527,55.32093058274584,49.6555466640837,39.94757851881275,59.27637304602355
USGS_06452000,33.3631055139344,70.6512822648024,33.9150686566282,70.6512822648024,36.77147792006846,64.3956999809397,52.3138400797538,33.9150686566282,70.6512822648024
USGS_06465000,63.30375925060484,124.846466448168,73.30143575719639,120.04636099785512,79.94101489895145,115.90526500594467,95.4422549351634,73.30143575719639,120.04636099785512
USGS_06465500,105.66196727035371,276.50845089973745,131.83089742039954,267.8908334923791,145.29132244920407,257.31990109652406,189.0013938313615,131.83089742039954,267.8908334923791
USGS_06642000,36.60035315202238,60.06589896234704,37.69717591300607,59.965055411267166,39.642741825817154,58.44442037885057,48.08467110412474,37.69717591300607,59.965055411267166
USGS_06652000,33.64676006436132,60.427407828849134,35.56903331166698,57.01513521800937,37.12741974109327,55.968808515446895,47.2843418725011,35.56903331166698,57.01513521800937
USGS_06657000,37.887601899162654,59.531737403030924,38.19054727180391,54.68519633813399,39.455803254056846,51.70829471025715,49.1670372230452,38.19054727180391,54.68519633813399
USGS_06779000,37.866031511607446,58.13146009529429,40.16013440637815,57.61673657121375,45.53003209455285,57.61673657121375,49.95273598826834,40.16013440637815,57.61673657121375
USGS_06785000,63.36575145640753,239.339234263489,77.25891978627313,216.3862187431527,93.38403161451922,194.813288217414,151.0402514821135,77.25891978627313,216.3862187431527
USGS_06788500,57.42469346014976,103.2763085614148,57.42469346014976,98.9051271069533,61.79587491461125,98.3459173415722,82.9469876503848,57.42469346014976,98.9051271069533
USGS_06790500,98.6028702329703,166.250593635629,112.39136284787668,154.32726371027252,121.8819851812155,154.237569622016,143.3061318203385,112.39136284787668,154.32726371027252
USGS_06926000,90.48566653728251,165.3682243272085,105.22082797294637,163.10732237027776,111.6398279648483,157.8031064031105,131.41480646241848,105.22082797294637,163.10732237027776
USGS_06926500,43.7482997110083,174.28700194035358,43.7482997110083,168.05092419769,43.7482997110083,168.05092419769,111.55517190331,43.7482997110083,168.05092419769
USGS_07057370,81.05824393473996,159.27987841094955,92.68393930318369,155.20790069978722,100.31880381061404,150.42395653438948,128.689916180043,92.68393930318369,155.20790069978722
USGS_07060500,103.24037500068005,151.65140825870424,110.4418901397997,144.817634263857,111.7445005789145,141.12570861549767,125.74608111870668,110.4418901397997,144.817634263857
USGS_07074420,63.6858279107953,117.51814526044043,63.6858279107953,113.260152527291,69.8826184878573,113.260152527291,88.9638251162363,63.6858279107953,113.260152527291
USGS_07076517,33.40891827991129,42.82631116400554,34.72962522542894,42.534948181004,36.11618147495889,40.932451774495505,39.23826450493753,34.72962522542894,42.534948181004
USGS_07151000,31.6551091496844,46.119070448285086,31.6551091496844,42.95822581258875,31.6551091496844,41.98286903065486,36.09094216841575,31.6551091496844,42.95822581258875
USGS_07160000,42.47110879992079,142.716096753406,47.59939867218271,125.28850647855518,51.31403322109751,107.30298483652102,74.59586901501235,47.59939867218271,125.28850647855518
USGS_07161000,32.654253188546896,196.2483538712322,43.8151012282831,170.78812038766986,49.92050342211549,153.02752617908536,79.6550204169517,43.8151012282831,170.78812038766986
USGS_07161450,43.4074003201755,105.74923711960474,48.85669643800903,102.81981278761003,54.17083270592305,99.04642871835672,81.4728026222989,48.85669643800903,102.81981278761003
USGS_07188000,32.087530856171696,69.98422710819054,35.870504867841746,69.10459261919391,38.02798360921465,62.5978773191214,49.914611165397545,35.870504867841746,69.10459261919391
USGS_07191500,881.0392393538976,1078.3816484091838,912.2655176861967,1062.12457992207,924.6491507635881,1049.4677455315414,1001.84729428393,912.2655176861967,1062.12457992207
USGS_07193500,100.69896059450461,150.0582773829239,104.8703925786649,142.4944295159675,107.4585068617175,134.95707575483058,120.215994481663,104.8703925786649,142.4944295159675
