stationid,coverage_95,coverage_50,kge,nse,nrmse,ci_width_95,ci_width_50,relative_ci_width_95,mean_qobs
Brazil_17200000,0.9739130434782609,0.9391304347826087,0.266857294072954,-0.6154577101614018,1.048939079538473,337.5293472360837,312.1570739115028,3.035055626440399,111.2102672173913
Brazil_17675000,0.037037037037037035,0.018518518518518517,-0.28722888506708966,-0.06444998559344395,1.308790276787514,95.51912470712253,56.08616451002198,0.2446360047174238,390.4540740740741
Brazil_25950000,0.4406779661016949,0.2796610169491525,0.5168858022061561,0.38063299987829136,0.5953443049772812,483.3310675484133,269.45141884868286,0.4704983502458657,1027.2747338983052
Brazil_42980000,0.8722222222222222,0.8222222222222222,0.2873449385827399,0.10654004131986994,0.7766568983075667,433.7087220753325,338.2651492196965,1.6552417290349837,262.02138
Brazil_45480000,0.2810945273631841,0.12437810945273632,0.26587429342368574,0.16112009819168505,0.36424664380810007,284.9867428592113,147.87467268611744,0.2338992477766784,1218.4166711442786
Brazil_54780000,0.95,0.4,-3.075196904270313,-34.532944103681075,2.5986886181077145,647.5598226353388,438.10557005213207,4.70718185758846,137.5684735
Brazil_54950000,0.36,0.22,0.01299528649792614,-1.326499029007802,1.0631057289959094,346.0276604686432,198.94190957356147,1.2614852752026995,274.3017832
Brazil_57460000,0.9452054794520548,0.9452054794520548,0.3797371222501479,-0.4222684955588658,0.6027660908029009,67.40077320717616,64.67599645312966,2.328344725518251,28.947935616438357
Brazil_58620000,0.78125,0.78125,0.40220355822316867,0.4645991601915077,0.3960582168134622,100.51083696161538,84.90695395653016,0.8415935647776674,119.4291890625
Brazil_58795000,0.2524271844660194,0.14563106796116504,0.1550464867440201,0.08725763759919924,0.5414099853661242,141.20185143406806,76.94762864293114,0.3089773837517793,456.99736893203885
Brazil_61915005,0.5151515151515151,0.509090909090909,-0.20044400892490288,-0.027013895410394895,0.5972346541334975,93.3730471088294,93.31939040946419,0.5344143753376361,174.72031333333334
Brazil_64645000,0.13333333333333333,0.13333333333333333,-0.47496135888370383,-0.5522873952486536,1.3673870484260198,78.45702924228205,77.93650406621516,0.10898013299669494,719.9204761904762
Brazil_73850000,0.6031746031746031,0.5238095238095238,-0.7872864020741881,-5.816350951695549,1.9552576134708843,405.09465059645936,396.5433818886094,3.4948797072638365,115.91089952380952
Canada_05CK004,0.9222222222222223,0.6111111111111112,0.25553559772487733,-0.4338447913467207,1.0504474505830443,192.683845111881,118.49394383406562,2.591410463354281,74.35481481481482
Chile_07317005,0.7719298245614035,0.49122807017543857,-1.2643383827104637,-7.180500358087805,3.5281944513098704,330.1737998938839,194.90634182602977,5.025182535975862,65.70384210526316
Chile_11500002,0.6875,0.6875,-0.40250818373133423,-0.33948297578535525,1.1649437647598047,73.58189618503317,69.8049535959933,0.9589084023360661,76.7350625
EWA_9114022,0.38461538461538464,0.15384615384615385,-0.2543682701733667,-2.5573711403028243,1.4397149080253662,348.60525959380533,188.99278630678083,2.5766820415734983,135.2923076923077
EWA_9114023,0.42105263157894735,0.42105263157894735,-0.993212436969009,-14.611961765406667,1.8257527189573928,142.4262629099221,139.4618545720144,3.801768748649227,37.46315789473684
GRDC_1134030,0.2857142857142857,0.21428571428571427,-3.5482379676795954,-16.407916269429233,4.9515689640408596,1179.2574035943176,682.5497939442738,1.4868025009069126,793.15
GRDC_1591401,0.8426966292134831,0.5280898876404494,-0.039086712890511466,-2.2497387009376624,0.6158907672337396,1386.0420732635275,802.0533417830795,1.3012938629333375,1065.1261123595507
GRDC_2588250,0.3333333333333333,0.2564102564102564,-0.0995540431203068,-4.579082383153478,1.0025330302826796,188.38002975192597,108.2307734948156,2.731810230064071,68.95794871794872
GRDC_2588552,0.7384615384615385,0.5538461538461539,-0.7573300186711194,-5.243735461693103,1.2499377579749844,150.6178295857124,86.16180318296463,1.5161592890848068,99.34169230769231
GRDC_2589350,0.0967741935483871,0.0967741935483871,-1.054159801078609,-5.267558178499222,2.123859469581814,86.24162047502784,64.7278431398085,3.8335105172438526,22.496774193548386
GRDC_2589751,0.3157894736842105,0.2631578947368421,0.08987797984811319,0.17630836141495165,0.8215968951098582,78.0322041673495,66.79017519029735,0.4919589868830705,158.61526315789473
GRDC_3276800,0.6071428571428571,0.35714285714285715,0.5068104385291985,-0.15677896335246988,0.47583009935169823,783.3295113713726,524.542317723224,1.0186823532623919,768.9634642857143
GRDC_4122601,0.27972027972027974,0.1258741258741259,-0.0610210529439672,-2.051912951119967,1.1935301201964204,180.14167536628773,102.80062069832454,1.015422223063197,177.40568531468531
GRDC_4122602,0.44360902255639095,0.24812030075187969,-0.6217872885936113,-4.351383486500699,1.8109709323482048,196.59114626254615,123.5185338816225,2.768937766350745,70.99875939849625
GRDC_4125801,0.27011494252873564,0.1235632183908046,-0.08244083550126358,0.013477250804705965,1.4045283196820166,69.63489707339633,45.92206676417257,1.2902935698336688,53.96825862068966
GRDC_4148851,0.32340425531914896,0.18723404255319148,-0.4138346992251163,-0.783318757845284,1.0776531499351383,153.06092433114947,89.55942505797609,0.4756718674332767,321.7783829787234
GRDC_4206920,0.75,0.75,0.017839149786608277,0.05366707318772057,0.9719461105320837,368.1110765584467,347.73189177038597,0.8291339253386676,443.97058823529414
GRDC_4208260,1.0,1.0,0.23050366318411253,-0.5022661226540299,0.5597555751686463,329.8529803709553,310.7434964433109,2.873840100037365,114.77777777777777
GRDC_6335170,0.20952380952380953,0.12380952380952381,0.019690949774656685,-4.076422523614511,0.7100494927635679,792.6872114762551,459.55956757817927,0.6620122902582345,1197.3904761904762
