COMID,Unnamed: 0,node_id,lat,lon,time,wse,wse_u,width,width_u,stationid,node_data_num,width_u_r
78004254,20,78340500020241,54.63386247,-128.4216598,772061233.437,83.94906,0.09475,283.134468,9.409813,GRDC_4206250,102,0.033234431210261546
78004254,245,78340500020241,54.63392161,-128.4214811,773863936.335,83.1443,0.09567,258.665912,8.566026,GRDC_4206250,102,0.03311617651420571
78004254,444,78340500020241,54.63385803,-128.4216125,774344328.566,82.57553,0.09681,268.53763,6.955146,GRDC_4206250,102,0.025900079627573985
78004254,125,78340500020241,54.63385719,-128.4216905,774722073.774,82.86555,0.09606,252.163203,6.541765,GRDC_4206250,102,0.025942583700445776
78004254,838,78340500020241,54.63402746,-128.4216107,775288897.036,82.89391,0.09336,268.905021,7.711759,GRDC_4206250,102,0.02867837488240876
78004254,60,78340500020241,54.633794,-128.4217011,775666641.34,82.17035,0.09856,266.502766,9.635471,GRDC_4206250,102,0.036155238253699776
78004254,379,78340500020241,54.63368954,-128.4215757,750909166.417,81.51312,0.112,249.162823,5.166992,GRDC_4206250,102,0.020737411535909592
78004254,424,78340500020241,54.63378258,-128.4215267,750428774.833,81.62034,0.09693,219.325783,6.062989,GRDC_4206250,102,0.027643758599963597
78004254,386,78340500020241,54.633754,-128.4218498,749484206.863,81.41635,0.09817,263.729057,5.449786,GRDC_4206250,102,0.02066433658085692
78004254,22,78340500020241,54.63384411,-128.4216857,750051029.227,81.67294,0.09378,208.856972,6.577796,GRDC_4206250,102,0.03149426105823271
78003025,2,78340700050931,55.71517067,-127.6877894,743698367.37,316.34026,0.09753,144.413414,5.14239,GRDC_4206920,67,0.03560881124242379
78003025,559,78340700050931,55.715202,-127.6877388,744076073.521,316.7675,0.09979,184.18125,4.164837,GRDC_4206920,67,0.02261270894838644
78003025,158,78340700050931,55.71517179,-127.6876975,744642937.122,315.95322,0.10184,226.495251,5.188733,GRDC_4206920,67,0.022908793791883965
78003025,174,78340700050931,55.71509328,-127.6871736,746445641.618,315.54847,0.11909,47.785066,3.251542,GRDC_4206920,67,0.06804515034048504
78003025,89,78340700050931,55.7151463,-127.6878536,746736915.457,315.63151,0.0958,218.915174,6.07898,GRDC_4206920,67,0.02776865526918659
78003025,512,78340700050931,55.71511923,-127.6879448,747303779.193,315.23195,0.10282,175.644753,4.853729,GRDC_4206920,67,0.027633783059833276
78003025,240,78340700050931,55.71509564,-127.6878221,747681484.964,315.36855,0.1076,198.37325,3.898759,GRDC_4206920,67,0.01965365289926943
78003025,237,78340700050931,55.71506528,-127.6878643,748248347.858,315.33262,0.10211,188.537987,4.989328,GRDC_4206920,67,0.02646325061272666
78003025,57,78340700050931,55.71520426,-127.6877033,748539620.89,315.5415,0.09646,223.117884,5.476082,GRDC_4206920,67,0.024543447176112516
78003025,503,78340700050931,55.71515047,-127.6879128,751286891.941,316.10559,0.10095,211.162115,4.214168,GRDC_4206920,67,0.019957026855882742
