stationid,date,width,area_hypso,area_median,area_lower_95,area_upper_95,qobs,Q_est,Q_est_median,Q_est_lower_95,Q_est_upper_95,Q_est_lower_50,Q_est_upper_50,kge,nse,nrmse,kge_median,nse_median,coverage_95,coverage_50,ci_width_95,ci_width_50,relative_ci_width_95
Brazil_17200000,1984-05-29,71.0141439163569,132.81810483374332,125.00580267252508,72.16107630591452,350.6130962226928,117.1739,91.11545997980448,136.8424024810763,37.86440484448067,375.39375208056435,37.86440484448067,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1984-07-16,65.93538804886543,106.12990772913098,89.94336762855166,72.16107630591452,350.6130962226928,63.57702,65.87345528936018,112.79246323925838,37.86440484448067,375.39375208056435,37.86440484448067,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1985-02-09,91.1437129844133,293.4243678295413,331.0429355103095,72.16107630591452,350.6130962226928,374.4446,289.11391564437065,375.34354742270176,37.86440484448067,375.39375208056435,37.86440484448067,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1985-05-16,86.89303431378937,250.53257088311346,185.54282304484713,72.16107630591452,350.6130962226928,174.7073,229.35604645457724,103.78309085356506,37.86440484448067,375.39375208056435,37.86440484448067,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1985-08-20,67.93165062866807,116.06493808001139,72.637532505198,72.16107630591452,350.6130962226928,53.81,74.96297366549464,90.04749996035903,37.86440484448067,375.39375208056435,37.86440484448067,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1985-09-05,86.5847429693845,247.65444243139012,273.39724183932094,72.16107630591452,350.6130962226928,51.9408,225.51519043820892,220.2740334356135,37.86440484448067,375.39375208056435,43.087630822463495,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1985-12-10,92.05610343414824,303.3587973250803,278.2285503687346,72.16107630591452,350.6130962226928,113.2591,303.5888208097977,207.4304237172879,37.86440484448067,375.39375208056435,65.03589755683154,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1986-04-01,95.6571387477389,344.701526089774,350.6130962226928,72.16107630591452,350.6130962226928,236.4481,366.14541228600746,349.6018750610721,37.86440484448067,375.39375208056435,77.90486857642813,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1986-09-24,89.1493122251772,272.5431961980688,346.01076075521235,72.16107630591452,350.6130962226928,53.81,259.4418827877768,257.4981385880108,37.86440484448067,375.39375208056435,39.303777979243705,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1987-07-25,68.31660960261156,118.06192096881676,109.40017739875242,72.16107630591452,350.6130962226928,51.01684,76.83493287819489,75.3397932421792,37.86440484448067,375.39375208056435,37.86440484448067,352.58974853291704,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1987-08-10,86.5847429693845,247.65444243139012,247.10221359737642,72.16107630591452,350.6130962226928,48.28772,225.51519043820892,163.44419280831835,37.86440484448067,375.39375208056435,37.86440484448067,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1987-09-11,69.5486757701896,124.63450192320225,151.90729909700966,72.16107630591452,350.6130962226928,62.56902,83.09937130060918,95.87240446858951,37.86440484448067,375.39375208056435,37.86440484448067,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
Brazil_17200000,1987-09-27,68.2148854412107,117.52984950329862,76.53895829229512,72.16107630591452,350.6130962226928,95.75002,76.3344723891508,181.84262230956952,37.86440484448067,375.39375208056435,39.79605708928753,375.39375208056435,0.266857294072954,-0.6154577101614018,1.048939079538473,0.24475206811295325,-0.6668086418589851,0.9739130434782609,0.9391304347826087,337.5293472360837,312.1570739115028,3.035055626440399
