stationid,date,width,area_hypso,Q,Q_est,kge,nse,nrmse
humaqiao,2001-05-31,225.0615334384415,276.17650516606625,238.0,242.96116035654222,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2001-06-07,234.882559780012,298.11859790875855,335.0,268.23025057184867,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2001-06-08,225.0615334384415,276.17650516606625,331.0,242.96116035654222,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2001-06-15,160.7768359859985,157.31793230861365,194.0,119.00755984820744,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2001-06-23,110.56790951495724,90.18331287502211,142.0,60.4251024549749,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2001-08-03,152.36797868859162,145.42977795804418,1520.0,108.20639217848179,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2001-08-11,243.3833457023145,318.1593049585511,572.0,291.94898087265284,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2001-08-27,242.49924192254,316.0315954046245,595.0,289.40347075572464,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2002-06-26,105.63528747525774,86.76602051091837,144.0,58.40767770987634,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2002-07-05,110.19849894585036,89.88976833530994,167.0,60.23188692214366,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2002-07-20,169.2968195091155,171.05609096823753,230.5,132.19799198354895,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2002-07-29,146.384839335113,136.59976279177,199.0,100.11803745002635,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2002-09-06,130.29839767375523,114.40179779008989,156.0,80.51099333143591,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2002-09-14,136.5748764399985,123.15766524586495,159.0,88.2297442990533,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2002-09-15,105.83159424828884,86.89254374193747,148.0,58.47727310183065,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2002-09-22,97.38201339001736,81.77525758072014,106.0,55.86552114253421,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2002-09-23,108.7590040835976,88.85651612590993,103.0,59.6025911453136,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2002-10-17,90.11213695956296,77.32090388010138,97.8,53.58778801125005,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2003-10-12,149.8162436969625,141.71310438677446,401.0,104.81028532260763,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2004-05-07,263.43189637779847,369.37668814967407,1130.0,355.16491090132905,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2004-06-08,132.0891540694765,116.86792143231767,272.5,82.66859946449425,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2004-07-10,117.845815401568,98.00631301858405,156.0,66.52330147996075,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2004-07-17,121.4055437054875,102.55993074948596,113.0,70.3445310593609,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2004-07-26,132.0891540694765,116.86792143231767,320.0,82.66859946449425,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2004-08-02,121.4055437054875,102.55993074948596,148.0,70.3445310593609,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2004-08-11,109.525129211916,89.38082938176665,128.0,59.90888963887651,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2004-08-18,124.245538213193,106.27204109110122,121.0,73.49723280082341,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2004-09-03,200.3942168088295,226.6834867882198,470.0,188.88733409521356,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2004-09-28,180.291394195421,190.49531228351265,390.0,151.67603821785764,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2005-06-02,150.91926895086002,143.31198941600925,355.0,106.26760648980287,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2005-06-18,124.1857488551365,106.19300692496888,232.0,73.42971506042593,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2005-07-13,147.253679286351,137.88629575317998,308.0,101.29411722525514,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2005-08-05,105.4317653866374,86.63509489499022,115.0,58.33581362425454,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2005-08-14,94.94044264336895,80.42533255648478,77.6,55.26460796677121,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2005-08-21,113.7824005532245,92.94163856734575,92.0,62.334282672058734,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2006-05-20,97.7488328763175,81.98079154360192,117.0,55.95930058043476,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2006-06-05,82.03836600414496,69.69884970675537,104.0,47.98709974351283,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2006-08-08,178.782823018796,187.78932135296012,620.0,148.93408895839283,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2006-09-02,110.19849894585036,89.88976833530994,209.0,60.23188692214366,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2006-10-04,93.3851067236895,79.57658812133708,91.8,54.89720886924843,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2006-10-11,93.16920632038064,79.45987968707672,79.7,54.84765457272589,0.30606086291610535,0.008482938997406708,0.8965190203129936
humaqiao,2006-10-20,93.3851067236895,79.57658812133708,65.9,54.89720886924843,0.30606086291610535,0.008482938997406708,0.8965190203129936
