stationid,date,width,area_hypso,qobs,Q_est,kge,nse,nrmse
changjiangtun,2001-05-26,175.65757910073174,151.19998520058894,75.6,71.18830219238166,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2001-06-03,179.78267258381177,166.46433206753875,97.0,82.28179341466299,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2001-08-30,194.72598803444075,229.2449328736532,124.0,132.98947774512897,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2001-09-07,202.55850824322,267.16779236965573,37.0,167.18866350649526,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2001-10-09,169.57017077691427,130.2038141519227,26.8,56.807654124106435,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2002-06-30,187.7485961557835,198.4238819029511,311.5,107.12045787201745,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2002-09-18,208.417010244289,297.9487123177059,644.0,196.7345924149763,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2003-04-30,196.8489812576465,239.172758815329,192.0,141.69821857769168,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2003-05-08,195.84782388585649,234.46011173972832,420.0,137.54224078384365,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2004-08-22,190.97538355206325,212.34325857571957,438.0,118.58038382889342,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2005-08-09,200.49665428459275,256.8361560787509,920.0,157.6240560535286,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2006-08-12,198.598938072394,247.54948463597646,727.0,149.18291165879145,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2007-07-14,184.83369892557525,186.3432984494992,317.0,97.48456186907349,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2007-10-02,154.463182608946,85.44407638210383,24.6,29.958513671312822,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2008-04-11,201.1370579290333,260.0196734849795,82.4,160.55207951868363,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2008-05-13,194.17502623532124,226.7157148990618,370.0,130.799909070723,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2008-08-17,186.55132451813077,193.4090051180139,390.0,103.08510317740709,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2008-10-20,199.77587470114528,253.2811615526459,26.1,154.37481057727757,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2009-09-21,184.8614710107025,186.45604296128295,279.0,97.57311095191625,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2009-10-07,178.986166817752,163.44894561440157,20.2,80.0493009513335,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2009-10-23,210.657217612975,310.17567758264863,287.0,208.8794201434679,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2010-09-08,197.267910252408,241.15642651534492,192.0,143.45887474432226,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2011-07-25,201.55735087143,262.1174358970159,459.0,162.4904120704696,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2011-08-26,185.92216759753973,190.79936657464452,133.0,101.00458328880478,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2013-07-14,202.348724597692,266.10571985846764,987.0,166.19719313458128,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2014-04-12,205.47180545421296,282.21283108907716,604.0,181.43737365553397,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2014-04-28,202.52810392820373,267.0128565705607,707.0,167.0438175744369,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2014-05-30,199.65963465923124,252.71300309236136,781.0,153.85777560380777,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2014-09-19,172.72488845710274,140.86351713324237,78.0,63.97759573814455,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2014-10-05,188.88095765045875,203.24623175355867,24.5,111.04841637297703,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2015-04-15,184.8614710107025,186.45604296128295,289.0,97.57311095191625,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2015-06-18,195.84782388585649,234.46011173972832,669.0,137.54224078384365,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2015-07-04,186.1015469280515,191.541342700763,455.0,101.59473612953651,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2015-08-05,170.7838790704475,134.25096912268387,65.9,59.49741760891732,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2015-09-06,196.145189417494,235.85321557363508,684.0,138.76657787479184,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2016-05-19,191.7675752354048,215.84856030493597,830.0,121.52495216432217,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2016-06-04,195.84782388585649,234.46011173972832,712.0,137.54224078384365,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2016-07-06,192.828271822242,220.59341926957111,771.0,125.5473155343839,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2016-08-23,197.19117473130424,240.79307669577926,257.0,143.1359286263224,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2016-10-10,188.852661114589,203.12472953343385,618.0,110.9488769259074,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2018-07-28,199.839013989743,253.58977397571834,660.0,154.65585222273066,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
changjiangtun,2018-09-30,204.36634795177423,276.4418635746342,660.0,175.92750633751388,-0.014073183942242995,-0.7218112500493961,0.9651187441277368
dalai,2001-05-31,268.58240814056103,910.3546362586133,300.0,363.93810389637224,0.3807305700257777,0.5778873857478017,0.5612594421391935
dalai,2001-07-10,230.974274915955,764.7209577295794,90.0,300.97064273805046,0.3807305700257777,0.5778873857478017,0.5612594421391935
dalai,2001-08-11,315.8373593313055,1174.796743565345,990.0,499.67825082262885,0.3807305700257777,0.5778873857478017,0.5612594421391935
dalai,2001-09-12,314.765436326247,1167.667178688783,600.0,495.75676964851175,0.3807305700257777,0.5778873857478017,0.5612594421391935
dalai,2001-09-28,267.98645547454,907.6463857915326,220.0,362.6720868043295,0.3807305700257777,0.5778873857478017,0.5612594421391935
dalai,2001-10-14,255.182710749187,852.5343683987243,173.0,337.55707775265984,0.3807305700257777,0.5778873857478017,0.5612594421391935
dalai,2002-05-10,274.0313239129015,935.8910598160129,300.0,376.04248590073684,0.3807305700257777,0.5778873857478017,0.5612594421391935
